plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
BLK911S,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.,Vehicle Related,8,Vehicle Related,0,3,3
YRU1 2H8,WHY ARE YOU ONE TO HATE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
AGENCYG,"AGENCY G, GANG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
ST4R W4R,STAR WARS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
4QIDGAF,IDGAF-I DONT GIVE A FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
YUGO G,YOU GO G AS IN GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
NNJA HLR,NINJA HAULER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
COMEONB,COME ON B = BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
C ME 4MJ,SEE ME FOR MARY JANE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
UR MVN,YOU ARE MOVING. I AM A REALTOR,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SCHIZAH,SHIT IN GERMAN,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
DFIESTA,"THE D COULD STAND FOR DICK, DICK PARTY",Sexual References,5,Sexual References,4,5,5
PIMPJCE,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,Explicit and Vulgar Language,2,Sexual References,4,1,5
DNAZZTY,D(DICK?) NASTY,Sexual References,5,Sexual References,4,5,5
CUDA 7T,1970 CUDA,Vehicle Related,8,Vehicle Related,0,3,3
FUCKK IT,FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
MALIBU G,MALIBU G-GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
5PTHOE,5 POINT/PATH HOE-WHORE.,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MNT CHP,MINT CHIP ICE CREAM,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SMOKY,SMOKY,Gang and Drug References,0,Vehicle Related,0,0,3
JONKY,JUNKY?,Explicit and Vulgar Language,2,Sexual References,4,1,5
CRP INS,CRIP,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DEAD1CO,DEAD AND CO IS THE NAME OF A BAND I LOVE,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
FLIPN RE,FLIPPING REAL ESTATE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
8183,BIRTH YEAR OF HUSBAND AND MYSELF,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BONGSKE,BONG-WEED,Gang and Drug References,0,Gang and Drug References,2,0,0
13PSALM,RELIGIOUS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OPD6M52,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)",Weapons,4,Vehicle Related,0,4,3
1PXIDST,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS,Gang and Drug References,0,Gang and Drug References,2,0,0
OG LARAM,ORIGINAL LOS ANGELES RAMS FAN OG=ORIGINAL GANGSTER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
JWLUV13,J W LOVE  13 FAVORITE NUMBER 13 = GANG NUMBER,Personal Names and Sentimental Values,6,Gang and Drug References,2,6,0
PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY PUMP GUY SEXUALL REFERENCE,Sexual References,5,Sexual References,4,5,5
FORDFX,MODEL OF MY CAR FX COULD STAND FOR FUCKS,Vehicle Related,8,Vehicle Related,0,3,3
#C4 28K,C4 EXPLOSIVE,Weapons,4,Vehicle Related,0,4,3
GTFO1O1,GTFO=GET THE FUCK OUT 101,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
6VISIX,666,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
4A12K88,NAME AND BIRTHDATE,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DOCVAJJ,"DOCTOR VAGINA, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
1JMV69,"MY INITIALS AND BORN YEAR 69, SEXUAL REFERENCE",Personal Names and Sentimental Values,6,Sexual References,4,6,5
SUGAR88,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
MPG AF,MPG(MILES  PER GALLON?) AS FUCK!,Vehicle Related,8,Vehicle Related,0,3,3
ILS LOC,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,Weapons,4,Vehicle Related,0,4,3
DOPE MK6,MK6 IS THE TYPE OF CAR I HAVE. DOPE=DRUG OR DOPE=COOL,Gang and Drug References,0,Vehicle Related,0,0,3
ZRO5ONE,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH,Gang and Drug References,0,Gang and Drug References,2,0,0
BON3SAW,"THIS IS MY NICKNAME AND COMES FROM SPIDERMAN MOVIE BONESAW, SOME MAY FIND IT OFFENSIVE (BONESAW LISTED AS UNACCEPTABLE)",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
WOODIE4,MY LAST NAME AND THE NUMBER OF PEOPLE IN MY FAMILY!,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
5IVEOHH,THE ENGINE TO MY CAR IM GETTING THESE FOR IS A 5.0 FIVE-0=COP REFERENCE,Weapons,4,Vehicle Related,0,4,3
2 SICK5O,FIVE-0=COP REFERENCE,Weapons,4,Area Codes and Regional Pride,7,4,2
BKBUUTY,BLACK BEAUTY (TRUCK),Vehicle Related,8,Vehicle Related,0,3,3
MUDKITI,DIRTY KITTY?,Cats and Pets,7,Explicit and Vulgar Language,1,7,1
1 BOLBOL,Tagalog word means testicles,Gang and Drug References,0,Sexual References,4,0,5
YUHAYTN,WHY YOU HATING,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
JAPJIT,"PULLED FOR JAP, RACIALLY DEGRADING TERM (JAP SHIT?)",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
BACINGA,CAN MEAN FOOLED YOU WHEN JOKING AROUND AND PLAYING PRANKS ON PEOPLE BUT IT CAN ALSO MEAN COCK SUCKER IN GERMAN,Gang and Drug References,0,Sexual References,4,0,5
BLUESTN,MY BUSINESS NAME BLUE STONE,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
NWA IE,NWA,Explicit and Vulgar Language,2,Sexual References,4,1,5
PUBER,LIKE UBER BUT PUBER. MY NAME IS PETER AND I DRIVE EVERYONE AROUND LIKE UBER. PUBE,Vehicle Related,8,Vehicle Related,0,3,3
KNKLS UP,KNUCKLES UP  THE NAME OF MY OFF ROAD GROUP..  YOUR KNUCKLES ARE UP WHEN RIDING  DIRT BIKES PREPARE TO FIGHT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
THREEPR,3 PERCENTER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
G BEAST,GUSTAVOS BEAST G AS IN GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
YE4PLAY,YEA PLAY OR YEA FOREPLAY,Sexual References,5,Explicit and Vulgar Language,1,5,1
LIT,BASICALLY MEANS AWESOME OR COOL LIKE THAT IS COOL.. THAT IS LIT LIT CAN MEAN HIGH OR DRUNK,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
AJNDRVR,"I AM A FATHER OF THREE ADAM, JESSIE AND NIKKI WHOM I AM ALWAYS CARTING TO SCHOOL PRACTICE MOVIES AND DINNER. LOOKS LIKE ASIAN DRIVER",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FDGNEMO,NEW CAR ORANGE (FINDING) NEMO FAN,Vehicle Related,3,Vehicle Related,0,3,3
AMERI AF,PATRIOTICâ€¦.. AMERICAN AS FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CTM 72,EITHER CONCHA DE TU MADRE ( YOUR MOTHERS PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (its not his initials),Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
69BSTNG,69 SEXUAL. (BEASTNG?),Sexual References,5,Sexual References,4,5,5
FLIPNLA,HOUSE FLIPPING,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
JS4LUCY,JUST FOR LUCY,Explicit and Vulgar Language,2,Sexual References,4,1,5
RCO4FBI,"RICO(LAW) 4 FBI, LAW ENFORCEMENT REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
TS 13,13-GANG,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
BLZ EYE,BULLS EYE,Explicit and Vulgar Language,2,Weapons,3,1,4
ZEUS666,ZUES 666(DENOTES EVIL),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FMLY CAT,FAMILY CAT,Personal Names and Sentimental Values,6,Cats and Pets,6,6,7
FSTRIDE,FAST RIDE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLUCRZY,STANDS FOR BLUE CRAZY. MOTORCYCLE IS BEAUTIFUL BLUE.,Vehicle Related,3,Vehicle Related,0,3,3
98 BEAVR,"I OWN A 1998 BEAVER MARQUIS DIAMONTE, ONLY 30 MADE",Vehicle Related,8,Vehicle Related,0,3,3
69 PRIMO,69=SEXUAL PRIMO=PRIME?,Sexual References,5,Sexual References,4,5,5
TOR HMR,MIDDLE NAME AND NORDIC GOD HMR HUMMER,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
FXXK IT,FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
UEMEFER,YOU MOTHER FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RDNKBMW,RED NECK BMW,Vehicle Related,3,Vehicle Related,0,3,3
KATS T,WIFE NAME AND T FOR TESLA,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
FUCCGRL,FUCK GIRL,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
USQUIRT,POKEMON CHARACTER SQUIRT CAN BE SEXUAL,Explicit and Vulgar Language,2,Sexual References,4,1,5
LIT ASF,LIT AS FUCK,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
SAWCY,SAUCEY,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
4FNSIZE,NICKNAME FN-FUN SIZE,Personal Names and Sentimental Values,6,Weapons,3,6,4
BORN N14,BORN IN 2014,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
IVAN G,MY NAME GAS IN GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
S3MWFYB,MY WAY FUCK YOUR BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FEAR13,MILITARY NICKNAME AND LUCKY NUMBER 13-GANG,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
MMEOW,MEOW,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
TVTOY14,TEMECULA VALKLEY TOYOTA 14,Vehicle Related,8,Vehicle Related,0,3,3
PHUQYUU,FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BIG WJ69,BIG [INITALS] 69,Sexual References,5,Area Codes and Regional Pride,7,5,2
TRLR KAT,TRAILER CAT,Cats and Pets,7,Vehicle Related,0,7,3
BANGUM,BANG=SEX/FUCK UM=THEM,Sexual References,5,Sexual References,4,5,5
CHIHOE,THIS IS MY LEGAL FIRST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
9246O,JUMBLE OF 69 AND 420,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
FUCF,FIGHT UNTIL CURE FOUND. FU STANDS FOR FUCK YOU,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LA PICA,pica means cunt in Czech,Gang and Drug References,0,Sexual References,4,0,5
DMNWTHN,THE MAN WITHIN DEMON WITHIN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BEACHO,BICHO means penis in puerto rican slang,Gang and Drug References,0,Sexual References,4,0,5
REDSPD,MY CAR IS A RED MAZDASPEED 3,Vehicle Related,8,Vehicle Related,0,3,3
WTFBRAH,WHAT THE FUCK BRO,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
MUFTA,MUFTA MEANS NO POINT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HUNEEZ B,HONEYS B B=BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CHAMP14,KEVIN HARVICK NASCAR CHAMP 2014,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
WFTDAD,WIRE FOX TERRIER DAD WFT LOOKS TOO SIMILAR TO WTF WHICH STANDS FOR WHAT THE FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KOCHINA,"COCHINA-DIRTY, LOUSY, SOW",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DBOMBSS,DBOMB=THE BOMB = GOOD LOOKING 96 IMPALA SS,Vehicle Related,8,Sexual References,4,3,5
KRAZEK9,CRAZY DOG,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
XCOP TOY,EX-COP TOY,Vehicle Related,8,Explicit and Vulgar Language,1,3,1
LVT DRTY,WE LOVE USING OUR SUV FOR OFFROADING/CAMPING. ITS OFTEN DIRTY FROM THE DIRT ROADS.,Vehicle Related,8,Vehicle Related,0,3,3
FJ$TACO,TOYOTA FJ CRUISER AND TOYOTA TACOMA,Vehicle Related,8,Vehicle Related,0,3,3
YOULIVE,YOU LIVE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SCLBUZZ,BLACK YELLOW FAMILY JEEP(BUMBLE BEE) BUZZ HIGH,Vehicle Related,8,Vehicle Related,0,3,3
IDGAF XO,I DON'T GIVE A FUCK KISSES HUGS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
NOBDYMV,NO BODY MOVE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
5STAR HH,5 STAR HOME HEALTH,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
FN KWIK,FUCKIN QUICK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
MOS DOPE,MOST DOPE=GOOD,Gang and Drug References,0,Gang and Drug References,2,0,0
APPLPIE,APPLE PIE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DAM DXTR,DAMN DEXTER,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
LVE HYB,love for hyrbrid cars,Vehicle Related,8,Vehicle Related,0,3,3
MMEOWWW,CAT LOVER,Cats and Pets,7,Cats and Pets,6,7,7
POS FRD,POSITIVE FRIENDS PIECE OF SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLU 1DER,BLUE WONDER-THE VEHICLE COLOR IS BLUE,Vehicle Related,3,Vehicle Related,0,3,3
RAPTOR N,RAPTORING FOR A FORD RAPTOR TRUCK,Vehicle Related,8,Vehicle Related,0,3,3
THE BAUM,THE BOMB,Weapons,4,Weapons,3,4,4
GTKILLA,GOOD TQUILA OR GT KILLA(KILLER),Explicit and Vulgar Language,2,Sexual References,4,1,5
WELUVPS,WE LOVE PALM SPRINGS LOOKS LIKE WE LOVE PUSSY,Explicit and Vulgar Language,2,Sexual References,4,1,5
COPMNOT,GOING ON A CROWN VICTORIA POLICE INTERCEPTOR. LETTING EVERYONE IM NOT A COP.,Weapons,4,Explicit and Vulgar Language,1,4,1
KLYNSFX,CLEAN AS FUCK,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
AKBREW2,ALASKAN BREWING,Gang and Drug References,0,Area Codes and Regional Pride,7,0,2
1 RDSKN,NUMBER 1 WASHINGTON REDSINS FAN. MY FAVORITE NFL TEAM,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
RYITBLU,RED WHITE BLUE,Vehicle Related,3,Vehicle Related,0,3,3
CLN TDI,CLEAN TDI (DIESEL),Gang and Drug References,0,Vehicle Related,0,0,3
FN RAMS,FUCKING RAMS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PHAUXTO,FUCKS TOO,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
51OAK,AREA CODE/ CITY,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
TAKO TRK,TACO TRUCK,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CRWD KLA,CROWD KILLER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OGSLICE,OG ORIGINAL GANGSTER SLICE=NICKNAME,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
HTBTCH,hot bitch,Explicit and Vulgar Language,2,Sexual References,4,1,5
CHINO 13,"CITY I LIVE IN 13=GANG NUMBER, NO 2013 CAR ON ANI",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
BLINKAF,BLINK AS FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
NEGRADF,"SPANISH MEANING FOR ; NEGRA=BLACK D=OFF DF=DA FUCK OR DUMB FUCK. OR COULD BE ABBREVIATION FOR MEXICO CITY (FEDERAL DISTRICT, THE CAPITAL) NEGRA=BLACK",Vehicle Related,3,Explicit and Vulgar Language,1,3,1
MRSUCIO,MR SUCIO MEANS MR DIRT NICKNAME BECAUSE IM ALWAYS DRIVING IN THE DIRTS ROADS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
STUS WLY,"STUS WILLY, WILLIE=PENISâ€¦ NO JEEP ON ANI",Sexual References,5,Vehicle Related,0,5,3
WALK BCH,WALK BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PHOK1T,SIMILAR TO FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
ILOVECM,LOOKS LIKE I LOVE CUM,Sexual References,5,Sexual References,4,5,5
2LVNDIE,TO LOVE AND DIE,Explicit and Vulgar Language,2,Sexual References,4,1,5
UCNGTIT,"YOU CAN GET IT, SEXUAL CONNOTATION",Sexual References,5,Sexual References,4,5,5
YRAPUNK,YOURE A PUNK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SREDRUM,IT SAYS MURDERS BACKWARDS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
FK OIL,FUCK OIL,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
GILZ442,GILZ IS MY NAME AND 442 IS THE MODEL OF THE CAR,Vehicle Related,8,Vehicle Related,0,3,3
BLEU NV,BLUE ENVY,Vehicle Related,3,Vehicle Related,0,3,3
SMKGTIR,SMOKING TIRE,Gang and Drug References,0,Vehicle Related,0,0,3
HGOKAT1,MY NAME AND WIFES NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
GNZNAMO,GUNS AND AMMO,Weapons,4,Weapons,3,4,4
BCHLILY,BCH = BITCH ILY=I LOVE YOU?,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
HIEYO,"HI-YO, A RIDERS CALL",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BJAVNTR,BERT AND JEN ADVENTURE. ROAD TRIP VEHICLE BJ=SEXUAL REFERENCE?,Sexual References,5,Sexual References,4,5,5
5MFKIDS,FIVE MOTHERFUCKING KIDS!,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLLNDRT,BALL IN DIRT-BASEBALL REFERENCE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GFATHER,GOOD DAD,Sexual References,5,Personal Names and Sentimental Values,5,5,6
SHHKAKA,KAKA=SHIT,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
MURDRAF,MURDER AS FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FUQYOU1,FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
I WAX M,"WASH AND WAX CARS FOR A LIVING. MEANS I WAX CARS. I WAXEM, WAX COULD BE TO WAX PRIVATES OR TO HAVE SEX",Vehicle Related,8,Vehicle Related,0,3,3
CULI SIN,"CULI, PLURAL CULO, ASS",Gang and Drug References,0,Sexual References,4,0,5
2LONG4U,TOO LONG FOR YOU,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
UBER RED,I DRIVE FOR UBER BUT DO NOT QUALIFY FOR UBER BLACK SINCE MY CAR IS RED. SO I AM UBER RED,Vehicle Related,8,Vehicle Related,0,3,3
KCKRCKS,KICK ROCKS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GYSOT 69,GET YOU SOME OF THAT 69(SEXUAL),Sexual References,5,Sexual References,4,5,5
TUG,THANK YOU GOG(GOOD OLD GAMES),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BABEBLU,WE LOVE OUR NEW BLUE VEHICLE!,Vehicle Related,3,Vehicle Related,0,3,3
WT WLY,"WET WILLY, 2 SIMILAR CONFIGURATIONS ARE UNACCEPTABLE. PULLED BECAUSE OF WET AND WILLY BUT A WET WILLY ISNT SEXUAL",Sexual References,5,Sexual References,4,5,5
YARAK 1,YARAK IS DICK IN TURKISH,Gang and Drug References,0,Sexual References,4,0,5
HI SEC,INITALS FOR SECURITY COMPANY,Weapons,4,Cats and Pets,6,4,7
NTBFW,NOT TO BE FUCKED WITH,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
XXXTHOR,XXX=PORN THOR(GOD),Sexual References,5,Sexual References,4,5,5
1OGSEX3,OG SEX,Sexual References,5,Sexual References,4,5,5
BGDYRTY,BIG DIRTY,Sexual References,5,Explicit and Vulgar Language,1,5,1
HOODOO9,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
POLEDCR,POLE DANCER,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SICEVOX,NICE EVOLUTION 10,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SLIPN1R,SLIP IN HER,Sexual References,5,Sexual References,4,5,5
9INERUP,NINER UP,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
7O7 PLUS,707 HORSEPOWER PLUS A LITTLE MORE,Vehicle Related,8,Vehicle Related,0,3,3
4TNT,FOR TNT,Weapons,4,Weapons,3,4,4
PNT DRPA,"PANTY DROPPER, SEXUAL REFERENCE",Sexual References,5,Sexual References,4,5,5
DAAM DNL,DAMN DANIEL,Sexual References,5,Explicit and Vulgar Language,1,5,1
922O7,DATE OF ANIVERSARY,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
ROLN DTY,ROLLING DIRTY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HLCTKLR,HELLCAT KILLER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BUMBAI,TAGOLOG SLANG FOR DARKER SKIN PEOPLE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
PULLOVA,PULL OVER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DA$BLUD,THE MONEY BLOOD,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
WOOSH AF,WOOSH=FAST AS FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SLGN1NK,SLINGING INK,Explicit and Vulgar Language,2,Weapons,3,1,4
PHUC 48,PHUC-FUCK 48,Explicit and Vulgar Language,2,Sexual References,4,1,5
FUNKLFE,FUNK MUSIC LIFESTYLE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
H8 NONE,HATE NO ONE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
H$MEGRL,HOME GIRL,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
ANGY BEE,ANGRY BEE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CARTEL,CARTEL AS IN DRUG CARTEL,Gang and Drug References,0,Gang and Drug References,2,0,0
IM12IN,IM 12 INCHES (SEXUAL REFERENCE),Sexual References,5,Sexual References,4,5,5
DOGBARF,DOG BARF,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
2 FUXGVN,TWO FUCKS GIVEN,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
FNPWRFL,FEAR NOT POWER FEAR LOVE OR FUCKING(FN) POWERFUL,Sexual References,5,Sexual References,4,5,5
JONESIN,"OUR LAST NAME IS JONES, ITS FOR THE FAMILY VINTAGE BRONCO, THE JONESS ARE IN",Vehicle Related,8,Vehicle Related,0,3,3
ROD LVRS,ROD LOVERS,Sexual References,5,Vehicle Related,0,5,3
BLK HMER,BLACK HAMER,Explicit and Vulgar Language,2,Weapons,3,1,4
MICH 55,MICHIGAN 1955,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
IAM1DAF,I AM ONE DUMB ASS FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KXKXKKX,XXX=PORN AND KKK,Sexual References,5,Explicit and Vulgar Language,1,5,1
HIYBALL,HIBALL = DRUG,Gang and Drug References,0,Gang and Drug References,2,0,0
D2TW,DEAD TO THIS WORLD OR DEATH TO THE WORLD,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
M8T MDGT,STRONG LITTLE MAN MIGHTY MIDGET,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MYTWNGZ,MIGHTY WINGS,Explicit and Vulgar Language,2,Weapons,3,1,4
REDBONZ,REDBONE HOUND DOGS,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
LE SINGE,LE SINGE IS FRENCH FOR THE MONKEY,Explicit and Vulgar Language,2,Sexual References,4,1,5
3PRCTR,3 PERCENTER REFERS TO THE ORIGINAL COLONISTS WHO OPPOSED BRITISH TYRANNY,Explicit and Vulgar Language,2,Weapons,3,1,4
FEXTASY,"EXTASY, DRUG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
D JERK,THE(DA) JERK,Sexual References,5,Vehicle Related,0,5,3
YHTYGRL,YACHT GIRL(LIKE BOATS) OR WHITE GIRL,Explicit and Vulgar Language,2,Sexual References,4,1,5
SPRTN14,SPARTAN 2014 14=HATE SYMBOL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HEL TITI,"HELL, TITI=PENIS IN TAGALOG",Gang and Drug References,0,Sexual References,4,0,5
2BAKIDD,2 BAD ASS KID(S),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DBL TAP,"DOBULE TAP, GUN REFEREMNCE",Weapons,4,Weapons,3,4,4
RIPIMP C,RIP(REST IN PEACE) PIMP C,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
FCK PRZ,FUCK (PRESIDENT?),Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BLUJANE,BLUE JANE,Vehicle Related,3,Personal Names and Sentimental Values,5,3,6
1ST MSLE,1ST MUSCLE CAR OR 1ST MISSILE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TIHSONO,"OH, NO SHIT (BACKWARDS)",Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
