,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
822,ELITE CP,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
823,GOT MUUD,MY SON IS A CEMENT MASON,Business and University Identities,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
824,RXMEDY,REMEDY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
825,WEWANTU,WE WANT YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
826,BAJA TRP,TRP=TENTACLE RAPE PORN. CUSTOMER LIVES IN DEL MAR (SAN DIEGO),Diverse Personal Expressions,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
827,BRAEBRN,"""BRAE"" COULD HAVE SEXUAL CONNOTATION",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
828,AV 67,"""AV"" ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION",Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions
829,ATOM 3S,ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
830,RJ13 32H,LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
831,ROLLO 2,DOGS NAME,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
832,SBCOCO9,COCO SLANG FOR COCAINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
833,13 CMARO,2013 CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
834,BOSS AC,PULLED FOR BOSS,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
835,MRSMEI3,I AM MRS MANUEL EDGAR IRVIN THE THIRD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
836,SHESELS,SHE SELLS (I AM A SALESPERSON),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
837,YNG BOSS,I'M A YOUNG ENTREPRENEUR AND A TWENTY YEAR OLD BUSINESS OWNER! YOUNG BOSS :),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
838,BAD CAT3,"BAD CAT, AS IN MY CAR IS COOL BECAUSE IT HAS HELLO KITTY INTERIOR.",Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
839,I4 OHANA,IRWIN FAMILY,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
840,CNALOA4,SINALOA 4,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
841,DIESELG,MERCEDES BENZ DIESEL G CLASS.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
842,MY1TANK,I FEEL SAVE DRIVING MY TANK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
843,POPZ69,MY FATHERS 1969 CHEVELLE.,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
844,13BRZED,2013 BRZ (YEAR AND MODEL OF MY CAR),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
845,13VIPER,2013 DODGE VIPER,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
846,REDBNE,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
847,ONFYAH,ON FIRE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
848,RAMFRAN,FRAN IS RAM FAN,Business and University Identities,Personal and Family names,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Business and University Identities
849,XILRATD,EXHILARATED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
850,AG62,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
851,BDELIC,ANIMATION IN PRODUCTION,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
852,BUSTED,ARRESTED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
853,B4ULOL,BEFORE YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
854,CHEFFIN,"WAY OF LIFE BEIING A CHEF, TO COOK FOOD AND HAVING FUN DOING IT",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
855,CHSTHS,"CHASE THIS, *MY NAME IS CHASE",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
856,DMSDYD,DOOMSDAY DEFENSE OF THE DALLAS COWBOYS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
857,EMTANK,EM= EARLY MORNING TANK= COLOR AND NAME OF JEEP,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
858,EVOFITG,BIZ NAME AND MY INITIAL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
859,FEEVOX,FINAL EDITION MITSUBISHI EVOLUTION TEN,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
860,GNTSFN2,SF GIANTS FAN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
861,JOHANG,THE NAME OF MY SON,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
862,MEMOSG,OWNER'S NICK NAME AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
863,RAMMA,LOS ANGELES RAMS MOM,Business and University Identities,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
864,X69C1OX,1969 CHEVY C10 PICKUP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
865,38OSL83,CAR IS A 1983 380SL,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
866,SHNKWA,NAME OF MY DOG IS SHANIKWA.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
867,2HRD2L,TO HARD TO HANDLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
868,BBKATE,BABY KATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
869,FEEQUUS,FE = IRON; EQUUS = HORSE; IRON HORSE =  MOTORCYCLE;,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
870,IBLDBLU,DODGERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
871,DRRNBOW,DOCTOR RAINBOW,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
872,EVIL 2,NAME FOR MY CUSTOM DUNE BUGGY.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions
873,LJ BLUE,"LJ IS MY GITL FRIEND'S NAME, BLUE IS HER FAVORITE COLOR",Diverse Personal Expressions,Personal and Family names,Personal and Family names,Pet and Animal Themes,Personal and Family names
874,POTUS 1,"""PRESIDENT OF THE UNITED STATES""",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
875,PPP CBH,FAMILY INITIALS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
876,TWO2RED,I RIDE A RED DIRT BIKE AND THE VAN WILL BE RED ALSO,Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
877,V8 CAT,V8 CAT,Pet and Animal Themes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
878,2 NVRDUI,PROMISE TO NVR DUI,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions
879,9O S13,YEAR AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
880,BLEUDOG,THE NAME OF ONE OF OUR DOGS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
881,JAZZCAT,LOVER OF JAZZ MUSIC AND PET CATS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
882,AKANUGE,NUGE REFERES TO TED NUGENT WHO IS A ROCKER WHO SLEPT WITH A LOT OF WOMAN AND DID A LOT OF DRUGS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
883,CATJES,"CAT, SEXUAL REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
884,E11913G,"13G AT THE END STANDS OUT, COULD BE GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations
885,NISSHOT,"SHOT, WEAPON REFERENCE",Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
886,NOV1614,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
887,REDSAUX,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
888,VAPOR16,"VAPOR, DRUG REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
889,VRYLOUD,LOUD IS A WORD THAT CAN BE USED TO DESCRIBE STRONG SMELLIN MARIJUNA,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions
890,WLFCLAN,"CLAN, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
891,1TIMO4,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
892,1962,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
893,1976C2O,LOOK ALIKE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
894,567,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
895,67ZBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
896,73MBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
897,ORTOFON,"COULD BE ""OR TO FUCK ON""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
898,IRSHRED,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
899,ALXHUNT,ABBREVIATION FOR ALEXANDRIA AND HUNTER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
900,BENNNZO,ITS FOR MY MERCEDES BENZ,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
901,BLUE886,BLUE IS THE COLOR OF MY COLOR AND I LOVE  THIS COLOR,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
902,DBLNDWN,DOUBLE DOWN AS IN STOCKS,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
903,EJMAC,MY NICK NAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
904,GCASINI,L CASINI,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
905,GIGI614,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
906,HNTDEER,HUNT DEER,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
907,HOOTROD,HOOT IS A FUN SAYING( THIS IS A HOOT) ROD IS A FUN CAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
908,LALOZSS,NAME AND TYPE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
909,LIZLEEN,LEEN COULD STAND FOR LEAN WHICH IS A NARCOTIC DRINK WITH PROMETHAZINE IN IT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
910,LMNSBLU,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
911,MOJORSG,NICK NAME FOR JIM MORRISON OF THE DOORS MUSIC GROUP,Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
912,MYBYRD,BIRD CAN BE ANOTHER WORD FOR COCAINE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes
913,MY997TT,PORSCHE 997 TWIN TURBO,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
914,NTNLESS,NOTHING LESS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
915,NWNWMWM,ITS THE SOUND MY CAR MAKES ON STARTUP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
916,OOO99,9 IS MY LUCKY NUMBER; THIS IS A COOL  CONFIGURATION THAT LOOKS LIKE LOW PLATE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
917,PUNN,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
918,PZZABOX,"I OWN A PIZZA PLACE AND MY CAR IS A SCION XB (BOX CAR), THEREFOR IT IS A PIZZA BOX",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
919,RDSTRV8,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
920,REDROCT,FOR MY RED CAR I CALL THE ROCKET,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
921,RED7PNY,THE CAR IS A 67 MUSTANG AND THE COLOR IS RED,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
922,SADLUP,SADDLE UP COULD BE A SEXUAL STATEMENT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
923,SPDEMON,SPD CAN BE A DRUG REFERENCE AND SOME PEOPLE MAY FIND DEMON AS A HOSTILE TERM,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
924,SWTTPIE,MY CAT'S NAME IS SWEETIE,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
925,18743,THIS IS MY CHP BADGE NUMBER.,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
926,2O16CAT,HELLCAT 2016 DODGE CHALLENGER,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
927,2525,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
928,37RED,MODEL OF VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
929,4CHACHA,CHA CHA CAN BE ANOTHER WORD FOR A WOMANS VAGINA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
930,4545,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
931,568,MY MOM'S LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Personal and Family names,Area code and Numbers
932,74MEOW,MEOW LOVES CATS AND BIRTH YEAR,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
933,8OF13,"13, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
934,81O,MOTOCROSS NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
935,BL$EBRD,BLUEBIRD,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
936,I$MALLY,WIFES NIKNAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
937,6O76,UNITED STATES MARINE CORPS AIR WING HYDRAULIC MECHANIC,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
938,AMADORK,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
939,HNT1GLF,"HUNT, WEAPON REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
940,PRUS8TR,EAT PRIUS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
941,RU4WEEL,I AM IN A WHEELCHAIR AND IT IS A PLAY ON  WORDS. ARE YOU FOR REAL? RU 4WEEL IMPLYING ARE YOU IN A WHEELCHAIR?,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
942,4UQTPIE,"PIE, SEXUAL TERM FOR A WOMANS VAGINA",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
943,BLUEHOG,BLUE HARLEY DAVIDSON MOTORCYCLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
944,BLUROCT,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
945,TOHSPOT,CALIFORNIA - TOURIST HOT SPOT,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
946,AF ROMEO,ALFA ROMEO,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
947,CTC M18,CECCHINI TRUCKING MINUS 18,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers
948,DHWOOD1,DAGO HARDWOOD,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
949,DHWOOD2,DAGO HARDWOOD,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
950,F TYPEE,IT IS THE MODEL OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
951,IBLDBLW,"I BLEED BLUE, AS IN A DODGER FAN",Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
952,MOJO VAN,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
953,RJ WOOD,RJ WOOD,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
954,TOBYCAT,CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
955,1BADZF1,JAPANESE CODE NAME,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
956,2BOM1WO,2010 BMW,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
957,8O H O8,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,Area code and Numbers,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
958,CTCM13,CECCHINI TRUCKING MINUS 13,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers
959,CTCM14,CECCHINI TRUCKING MINUS 14,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers
960,DRGN BAL,DRAGON BALL,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
961,ALKATX,"IN MY MOTHER LANGUAGE ""ALKAT"" IS MY NAME.",Diverse Personal Expressions,Pet and Animal Themes,Personal and Family names,Personal and Family names,Personal and Family names
962,ARCHRER,I LIKE ARCHERY.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
963,BEEBAD,BE BAD...BEE FOR BUMBLE BEE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
964,BJ65SS,BILLIE JO'S 1965 CHEVY SUPER SPORT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
965,BRNCZLA,"BRONCZILLA, ITS A COMBINATION OF BRONCO  AND GODZILLA",Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
966,BRNDAG,SHORT FOR BRENDA GRIFFITH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
967,DANNNG,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
968,DMNTED,DEMENTED ADJECTIVE FOR CRAZY NICE SHOW TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
969,DOHNUTZ,I LIKE DONUTS. AND IT'S A HOMER SIMPSON  REFERENCE.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
