plate,meaning,classification_agglo,cluster_meaning
MMEOWWW,CAT LOVER,0,Vehicle Descriptions and Colors
POS FRD,POSITIVE FRIENDS PIECE OF SHIT,0,Vehicle Descriptions and Colors
BLU 1DER,BLUE WONDER-THE VEHICLE COLOR IS BLUE,1,Edgy Humor and Random Slang
RAPTOR N,RAPTORING FOR A FORD RAPTOR TRUCK,1,Edgy Humor and Random Slang
THE BAUM,THE BOMB,0,Vehicle Descriptions and Colors
GTKILLA,GOOD TQUILA OR GT KILLA(KILLER),0,Vehicle Descriptions and Colors
WELUVPS,WE LOVE PALM SPRINGS LOOKS LIKE WE LOVE PUSSY,0,Vehicle Descriptions and Colors
COPMNOT,GOING ON A CROWN VICTORIA POLICE INTERCEPTOR. LETTING EVERYONE IM NOT A COP.,0,Vehicle Descriptions and Colors
KLYNSFX,CLEAN AS FUCK,3,Explicit and Vulgar Language
AKBREW2,ALASKAN BREWING,2,"Gang, Drugs, and Street Culture"
1 RDSKN,NUMBER 1 WASHINGTON REDSINS FAN. MY FAVORITE NFL TEAM,0,Vehicle Descriptions and Colors
RYITBLU,RED WHITE BLUE,1,Edgy Humor and Random Slang
CLN TDI,CLEAN TDI (DIESEL),2,"Gang, Drugs, and Street Culture"
FN RAMS,FUCKING RAMS,0,Vehicle Descriptions and Colors
PHAUXTO,FUCKS TOO,3,Explicit and Vulgar Language
51OAK,AREA CODE/ CITY,4,Regional Pride and Area Codes
TAKO TRK,TACO TRUCK,0,Vehicle Descriptions and Colors
CRWD KLA,CROWD KILLER,0,Vehicle Descriptions and Colors
OGSLICE,OG ORIGINAL GANGSTER SLICE=NICKNAME,2,"Gang, Drugs, and Street Culture"
HTBTCH,hot bitch,0,Vehicle Descriptions and Colors
CHINO 13,"CITY I LIVE IN 13=GANG NUMBER, NO 2013 CAR ON ANI",6,Personal Names and Sentiments
BLINKAF,BLINK AS FUCK,3,Explicit and Vulgar Language
NEGRADF,"SPANISH MEANING FOR ; NEGRA=BLACK D=OFF DF=DA FUCK OR DUMB FUCK. OR COULD BE ABBREVIATION FOR MEXICO CITY (FEDERAL DISTRICT, THE CAPITAL) NEGRA=BLACK",1,Edgy Humor and Random Slang
MRSUCIO,MR SUCIO MEANS MR DIRT NICKNAME BECAUSE IM ALWAYS DRIVING IN THE DIRTS ROADS,0,Vehicle Descriptions and Colors
STUS WLY,"STUS WILLY, WILLIE=PENISâ€¦ NO JEEP ON ANI",5,Sexual References
WALK BCH,WALK BITCH,0,Vehicle Descriptions and Colors
PHOK1T,SIMILAR TO FUCK IT,3,Explicit and Vulgar Language
ILOVECM,LOOKS LIKE I LOVE CUM,5,Sexual References
2LVNDIE,TO LOVE AND DIE,0,Vehicle Descriptions and Colors
UCNGTIT,"YOU CAN GET IT, SEXUAL CONNOTATION",5,Sexual References
YRAPUNK,YOURE A PUNK,0,Vehicle Descriptions and Colors
SREDRUM,IT SAYS MURDERS BACKWARDS,3,Explicit and Vulgar Language
FK OIL,FUCK OIL,3,Explicit and Vulgar Language
GILZ442,GILZ IS MY NAME AND 442 IS THE MODEL OF THE CAR,1,Edgy Humor and Random Slang
BLEU NV,BLUE ENVY,1,Edgy Humor and Random Slang
SMKGTIR,SMOKING TIRE,2,"Gang, Drugs, and Street Culture"
HGOKAT1,MY NAME AND WIFES NAME,6,Personal Names and Sentiments
GNZNAMO,GUNS AND AMMO,0,Vehicle Descriptions and Colors
BCHLILY,BCH = BITCH ILY=I LOVE YOU?,0,Vehicle Descriptions and Colors
HIEYO,"HI-YO, A RIDERS CALL",0,Vehicle Descriptions and Colors
BJAVNTR,BERT AND JEN ADVENTURE. ROAD TRIP VEHICLE BJ=SEXUAL REFERENCE?,5,Sexual References
5MFKIDS,FIVE MOTHERFUCKING KIDS!,0,Vehicle Descriptions and Colors
BLLNDRT,BALL IN DIRT-BASEBALL REFERENCE,0,Vehicle Descriptions and Colors
GFATHER,GOOD DAD,5,Sexual References
SHHKAKA,KAKA=SHIT,2,"Gang, Drugs, and Street Culture"
MURDRAF,MURDER AS FUCK,0,Vehicle Descriptions and Colors
FUQYOU1,FUCK YOU,3,Explicit and Vulgar Language
I WAX M,"WASH AND WAX CARS FOR A LIVING. MEANS I WAX CARS. I WAXEM, WAX COULD BE TO WAX PRIVATES OR TO HAVE SEX",1,Edgy Humor and Random Slang
CULI SIN,"CULI, PLURAL CULO, ASS",2,"Gang, Drugs, and Street Culture"
2LONG4U,TOO LONG FOR YOU,0,Vehicle Descriptions and Colors
UBER RED,I DRIVE FOR UBER BUT DO NOT QUALIFY FOR UBER BLACK SINCE MY CAR IS RED. SO I AM UBER RED,1,Edgy Humor and Random Slang
KCKRCKS,KICK ROCKS,0,Vehicle Descriptions and Colors
GYSOT 69,GET YOU SOME OF THAT 69(SEXUAL),5,Sexual References
TUG,THANK YOU GOG(GOOD OLD GAMES),0,Vehicle Descriptions and Colors
BABEBLU,WE LOVE OUR NEW BLUE VEHICLE!,1,Edgy Humor and Random Slang
WT WLY,"WET WILLY, 2 SIMILAR CONFIGURATIONS ARE UNACCEPTABLE. PULLED BECAUSE OF WET AND WILLY BUT A WET WILLY ISNT SEXUAL",5,Sexual References
YARAK 1,YARAK IS DICK IN TURKISH,2,"Gang, Drugs, and Street Culture"
HI SEC,INITALS FOR SECURITY COMPANY,0,Vehicle Descriptions and Colors
NTBFW,NOT TO BE FUCKED WITH,3,Explicit and Vulgar Language
XXXTHOR,XXX=PORN THOR(GOD),5,Sexual References
1OGSEX3,OG SEX,5,Sexual References
BGDYRTY,BIG DIRTY,5,Sexual References
HOODOO9,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,0,Vehicle Descriptions and Colors
POLEDCR,POLE DANCER,0,Vehicle Descriptions and Colors
SICEVOX,NICE EVOLUTION 10,0,Vehicle Descriptions and Colors
SLIPN1R,SLIP IN HER,5,Sexual References
9INERUP,NINER UP,0,Vehicle Descriptions and Colors
7O7 PLUS,707 HORSEPOWER PLUS A LITTLE MORE,1,Edgy Humor and Random Slang
4TNT,FOR TNT,0,Vehicle Descriptions and Colors
PNT DRPA,"PANTY DROPPER, SEXUAL REFERENCE",5,Sexual References
DAAM DNL,DAMN DANIEL,5,Sexual References
922O7,DATE OF ANIVERSARY,6,Personal Names and Sentiments
ROLN DTY,ROLLING DIRTY,0,Vehicle Descriptions and Colors
HLCTKLR,HELLCAT KILLER,0,Vehicle Descriptions and Colors
BUMBAI,TAGOLOG SLANG FOR DARKER SKIN PEOPLE,2,"Gang, Drugs, and Street Culture"
PULLOVA,PULL OVER,0,Vehicle Descriptions and Colors
DA$BLUD,THE MONEY BLOOD,0,Vehicle Descriptions and Colors
WOOSH AF,WOOSH=FAST AS FUCK,0,Vehicle Descriptions and Colors
SLGN1NK,SLINGING INK,0,Vehicle Descriptions and Colors
PHUC 48,PHUC-FUCK 48,0,Vehicle Descriptions and Colors
FUNKLFE,FUNK MUSIC LIFESTYLE,0,Vehicle Descriptions and Colors
H8 NONE,HATE NO ONE,3,Explicit and Vulgar Language
H$MEGRL,HOME GIRL,0,Vehicle Descriptions and Colors
ANGY BEE,ANGRY BEE,0,Vehicle Descriptions and Colors
CARTEL,CARTEL AS IN DRUG CARTEL,2,"Gang, Drugs, and Street Culture"
IM12IN,IM 12 INCHES (SEXUAL REFERENCE),5,Sexual References
DOGBARF,DOG BARF,0,Vehicle Descriptions and Colors
2 FUXGVN,TWO FUCKS GIVEN,3,Explicit and Vulgar Language
FNPWRFL,FEAR NOT POWER FEAR LOVE OR FUCKING(FN) POWERFUL,5,Sexual References
JONESIN,"OUR LAST NAME IS JONES, ITS FOR THE FAMILY VINTAGE BRONCO, THE JONESS ARE IN",1,Edgy Humor and Random Slang
ROD LVRS,ROD LOVERS,5,Sexual References
BLK HMER,BLACK HAMER,0,Vehicle Descriptions and Colors
MICH 55,MICHIGAN 1955,0,Vehicle Descriptions and Colors
IAM1DAF,I AM ONE DUMB ASS FUCKER,0,Vehicle Descriptions and Colors
KXKXKKX,XXX=PORN AND KKK,5,Sexual References
HIYBALL,HIBALL = DRUG,2,"Gang, Drugs, and Street Culture"
D2TW,DEAD TO THIS WORLD OR DEATH TO THE WORLD,0,Vehicle Descriptions and Colors
M8T MDGT,STRONG LITTLE MAN MIGHTY MIDGET,0,Vehicle Descriptions and Colors
MYTWNGZ,MIGHTY WINGS,0,Vehicle Descriptions and Colors
REDBONZ,REDBONE HOUND DOGS,0,Vehicle Descriptions and Colors
LE SINGE,LE SINGE IS FRENCH FOR THE MONKEY,0,Vehicle Descriptions and Colors
3PRCTR,3 PERCENTER REFERS TO THE ORIGINAL COLONISTS WHO OPPOSED BRITISH TYRANNY,0,Vehicle Descriptions and Colors
FEXTASY,"EXTASY, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
D JERK,THE(DA) JERK,5,Sexual References
YHTYGRL,YACHT GIRL(LIKE BOATS) OR WHITE GIRL,0,Vehicle Descriptions and Colors
SPRTN14,SPARTAN 2014 14=HATE SYMBOL,0,Vehicle Descriptions and Colors
HEL TITI,"HELL, TITI=PENIS IN TAGALOG",2,"Gang, Drugs, and Street Culture"
2BAKIDD,2 BAD ASS KID(S),0,Vehicle Descriptions and Colors
DBL TAP,"DOBULE TAP, GUN REFEREMNCE",0,Vehicle Descriptions and Colors
RIPIMP C,RIP(REST IN PEACE) PIMP C,0,Vehicle Descriptions and Colors
FCK PRZ,FUCK (PRESIDENT?),3,Explicit and Vulgar Language
BLUJANE,BLUE JANE,1,Edgy Humor and Random Slang
1ST MSLE,1ST MUSCLE CAR OR 1ST MISSILE,0,Vehicle Descriptions and Colors
TIHSONO,"OH, NO SHIT (BACKWARDS)",3,Explicit and Vulgar Language
STUFU1,STU=STUPID FU=FUCK,0,Vehicle Descriptions and Colors
#HATIN,STOP HATING,3,Explicit and Vulgar Language
BZQUEEN,BUSY QUEEN BZ CAN STAND FOR BITCH,0,Vehicle Descriptions and Colors
I FAP,I FAP(MASTURBATE),0,Vehicle Descriptions and Colors
OSX4EVA,O(ORAL) SEX FORVER,5,Sexual References
BUNKEY G,BUNKEY GIRL OR BUNKY GANSTER,0,Vehicle Descriptions and Colors
BS RTIS,BUSINESS ARTIST OR bullshit artist,0,Vehicle Descriptions and Colors
BROOD,BROOD AS IN FAMILY,6,Personal Names and Sentiments
DRGN SHT,DRAGGING SHIT,0,Vehicle Descriptions and Colors
GUN ACE,GUN ACE(MASTER),0,Vehicle Descriptions and Colors
DEDS3C5,REFERENCE TO A VIDEO GAME HACKER GROUP DEAD SEC,0,Vehicle Descriptions and Colors
C4 MILES,SEE FOR MILES,1,Edgy Humor and Random Slang
MALIBLU,MALIBU BLUE,1,Edgy Humor and Random Slang
#54 HATN,HI FIVE FOR HATING,3,Explicit and Vulgar Language
8B8B88B,STAR WARS REFERENCE. THE NEW CUTE BB8 DROID MAYBE 88-HITLER?,0,Vehicle Descriptions and Colors
FUC FRD,FUCK FORD(?),1,Edgy Humor and Random Slang
213 RAMZ,[AREA CODE] LOS ANGELES RAMS,4,Regional Pride and Area Codes
CHOCHES,MEXICAN SLANG FOR CAR,2,"Gang, Drugs, and Street Culture"
DANKM3,DANK=COOL OR DRUG REFERENCE,2,"Gang, Drugs, and Street Culture"
UCM CATZ,"University of California, Merced BOBCATS",0,Vehicle Descriptions and Colors
4FSAKES,FOR FUCKS SAKE,3,Explicit and Vulgar Language
POOP KNG,POOP KING,0,Vehicle Descriptions and Colors
THUGGER,THUGGER,0,Vehicle Descriptions and Colors
ROOOOLL,ROLL,0,Vehicle Descriptions and Colors
H8BOGEY,HATE BOGEY(GOLF),0,Vehicle Descriptions and Colors
831LIFE,LIVING LIFE IN SALINAS AREA CODE,4,Regional Pride and Area Codes
DRGN ASZ,DRAGGIN ASS,0,Vehicle Descriptions and Colors
FYOU95 1,FUCK YOU,3,Explicit and Vulgar Language
4SHOGUN,FOR SURE GUN,0,Vehicle Descriptions and Colors
GYPSY45,GYPSY 45=gun CALIBER,0,Vehicle Descriptions and Colors
KTTYL$R,KITTY (CAT) LOVER OR KITTY=PUSSY LOVER,0,Vehicle Descriptions and Colors
TNTNSON,"TNT N SON, WEAPON REFERENCE",0,Vehicle Descriptions and Colors
I PLA 18,IM A GOLFER AND I PLAY 18 HOLES OF GOLF 18=HATE SYMBOL?,0,Vehicle Descriptions and Colors
F DUQUE,F=FUCK DUQUE,0,Vehicle Descriptions and Colors
MOBXFOE,MOB FOR EVER,0,Vehicle Descriptions and Colors
ETAHDCK,EAT A DICK,5,Sexual References
MSSK2BU,MUST SUCK TO BE YOU,0,Vehicle Descriptions and Colors
831 ROVR,AREA CODE AND CAR TYPE(ROVER),4,Regional Pride and Area Codes
MI COCO,MY CHOCOLATE COCO CAN MEAN COCAINE,2,"Gang, Drugs, and Street Culture"
HUUKRUP,HOOK HER UP,5,Sexual References
BRNHLD,short for brunhilde name of the bike (VALKYRE),1,Edgy Humor and Random Slang
BBNGA,LOOKS LIKE BB NIGGA,0,Vehicle Descriptions and Colors
EFUU,E(HEY?) FUCK YOU,3,Explicit and Vulgar Language
WITHAZZ,LOOKS LIKE WITH ASS,0,Vehicle Descriptions and Colors
MINI AF,MINI AS FUCK,3,Explicit and Vulgar Language
ICUCAR,EYE SEE YOU CAR OR ICU(INTENSIVE CARE UNIT) CAR,1,Edgy Humor and Random Slang
BANG OUT,BANG OUT,0,Vehicle Descriptions and Colors
KUZURUG,IT SI OUR COMPANY NAME KUZURUG.COM KUZU MEANS LAMB IN TURKISH,2,"Gang, Drugs, and Street Culture"
DONTH81,DON’T HATE,3,Explicit and Vulgar Language
LUCKYO2,luck you too=fuck you too?,0,Vehicle Descriptions and Colors
BADASMM,BAD ASS MOM,0,Vehicle Descriptions and Colors
MT714,"MATTHEW 7:14- BECAUSE SMALL IS THE GATE AND NARROW IS THE ROAD THAT LEADS TO LIFE, AND ONLY A FEW FIND IT.",0,Vehicle Descriptions and Colors
PINKEEE,PINKY NICKNAME VAGINA REFERENCE,5,Sexual References
TURBOGS,TURBO [CAR NAME],1,Edgy Humor and Random Slang
CZE DOA,CAUSE/COUS(IN)? DOA=DEAD ON ARRIVAL,0,Vehicle Descriptions and Colors
88 FORD,1988 FORD TRUCK,1,Edgy Humor and Random Slang
TOY  14,TOY = TOYOTA 14 = 2014,1,Edgy Humor and Random Slang
I WAS 14,I WAS 14 YEARS OLD 14 = HATE NUMBER?,0,Vehicle Descriptions and Colors
CAKEWRX,CAKE(BAKERY) WORK CAKE=ASS?,0,Vehicle Descriptions and Colors
8O8 ADCT,ADDICTED TO 808S (MUSIC),0,Vehicle Descriptions and Colors
CUMN QCK,CUMMING QUICK,5,Sexual References
YAAR BMB,YOURE bomb(COOL),0,Vehicle Descriptions and Colors
D MOBSTA,MOBSTER,0,Vehicle Descriptions and Colors
RDNCKRV,RED NECK RV,1,Edgy Humor and Random Slang
BABYKO,MY BABY IN TAGALOG,2,"Gang, Drugs, and Street Culture"
SHH H8RZ,SHUSH HATERS,3,Explicit and Vulgar Language
BOBSICL,BOB-BISYCLE OR BOB-MOTORCYCLE,1,Edgy Humor and Random Slang
DTARD15,RETARD,0,Vehicle Descriptions and Colors
3O INCHR,30 INCHER POTENTIALLY SEXUAL,5,Sexual References
KITTY UP,I AM A CAT BREEDER KITTY=PUSSY? UP,0,Vehicle Descriptions and Colors
KLRMULE,KLR IS THE TYPE OF MOTORCYCLE. MULE BECAUSE IT WORKS LIKE A MULE,1,Edgy Humor and Random Slang
JOY TOY,JOY(RIDE) TOY ,1,Edgy Humor and Random Slang
MTNCAT1,MOUNTAINCAT,0,Vehicle Descriptions and Colors
BAAAWSS,BALLS,5,Sexual References
BLUGOLD,BLUE GOLD,1,Edgy Humor and Random Slang
H8JOKER,HATE JOKER(CHARACTER),0,Vehicle Descriptions and Colors
FH8CNCR,FUCKING HATE CANCER,3,Explicit and Vulgar Language
JSTHETP,JUST THE TIP,0,Vehicle Descriptions and Colors
PSYC,PSYCHOLOGY,0,Vehicle Descriptions and Colors
TOPMAN,TOP MAN,0,Vehicle Descriptions and Colors
LXIXSTR,LXIX=69 STAR,2,"Gang, Drugs, and Street Culture"
FIEND,FIEND,0,Vehicle Descriptions and Colors
FYR PMP,FIRE PUMP,5,Sexual References
FIREOPS,FIREFIGHTING OPERATIONS,0,Vehicle Descriptions and Colors
FIFONIT,FIVE (DOLLARS) ON IT GAMBLING?,0,Vehicle Descriptions and Colors
CALI 4O8,CALIFORNIA [AREA CODE],4,Regional Pride and Area Codes
SNO TACO,SNOW TACOMA(CAR),1,Edgy Humor and Random Slang
BLUOVRU,BLUE ON ROOF (OF CAR),1,Edgy Humor and Random Slang
I AM OG,I AM OG-ORIGINAL GANGSTER,2,"Gang, Drugs, and Street Culture"
48BOMBR,1948 CHEVY BOMBER,1,Edgy Humor and Random Slang
H8EVRY1,HATE EVERYONE,3,Explicit and Vulgar Language
2121,21 SAVAGE (RAPPER),0,Vehicle Descriptions and Colors
UTOO PID,YOU STUPID,0,Vehicle Descriptions and Colors
14UVS19,"HERES ONE FOR YOU, NINETEEN FOR ME (SONG LYRIC)",0,Vehicle Descriptions and Colors
TNTSPRT,tnt=EXPLOSIVE SPORT/SPRINTER,0,Vehicle Descriptions and Colors
DAMNRAT,DAMN RAT,0,Vehicle Descriptions and Colors
PORKER,PORKER=OBESE,0,Vehicle Descriptions and Colors
BOGAN4U,BOGAN(INSULT)\ FOR YOU,0,Vehicle Descriptions and Colors
RLAFTY,"ROLL A FATTY, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
GET HYE,"GET HIGH, DRUG REFERENCE ",2,"Gang, Drugs, and Street Culture"
LVH8ERS,I LOVE HATERS,3,Explicit and Vulgar Language
IMAGOON,I'M A GOON,0,Vehicle Descriptions and Colors
1955XXX,1955 XXX=PORN,5,Sexual References
CYNCATS,CANYON CATS,0,Vehicle Descriptions and Colors
CUCHIE,CUCHIE=VAGINA,2,"Gang, Drugs, and Street Culture"
CARSLUT,CAR SLUT,1,Edgy Humor and Random Slang
RTD5O,RETIRED OFFICER(FIVE-0),0,Vehicle Descriptions and Colors
SWISHRR,SWISHER=CIGAR POSSIBLE BLUNT MARIJUANA WRAP,0,Vehicle Descriptions and Colors
RAM YOU,RAM YOU (SEXUAL?),5,Sexual References
MJANE,MARY JANE=MARIJUANA,0,Vehicle Descriptions and Colors
BLACKAF,BLACK AS FUCK,1,Edgy Humor and Random Slang
MN KILLA,MAN KILLER,0,Vehicle Descriptions and Colors
LIT 5OH,LIT FIVE-OH(POLICE REFERENCE),0,Vehicle Descriptions and Colors
$TREEES,MONEY TREES,0,Vehicle Descriptions and Colors
UB2JLS,YOU BE(ARE) TOO JEALOUS,0,Vehicle Descriptions and Colors
BLACKOP,BLACK OPERATIONS(MILITARY),0,Vehicle Descriptions and Colors
TRDS/WRX,TIME AND RELATIVE DIMENSIONS IN SPACE(TV REFERENCE) OR TURDS WORKS,0,Vehicle Descriptions and Colors
ST8 OG,STRAIGHT OG OG=ORIGINAL GANGSTER,2,"Gang, Drugs, and Street Culture"
H8 TTUN,HATE THAT TEAM UP NORTH (MICHIGAN REFERED BY OHIO STATE FANS),0,Vehicle Descriptions and Colors
RVRRED,RIVER RED,1,Edgy Humor and Random Slang
THUGNMD,THE UGLY NOMAD THUGGIN MAD?,0,Vehicle Descriptions and Colors
2BG NUGZ,TWO BIG NUGS-WEED(BALLS?),2,"Gang, Drugs, and Street Culture"
BAC DOR,BACK DOOR(SEXUAL?),5,Sexual References
BICHASS,BITCH ASS,0,Vehicle Descriptions and Colors
NO PLN B,NO PLAN B,5,Sexual References
SIG X,SIGMA CHI (FRATERNITY),0,Vehicle Descriptions and Colors
STONER,STONER=PERSON WHO SMOKES MARIJUANA,2,"Gang, Drugs, and Street Culture"
OH 5H1T,OH SHIT,3,Explicit and Vulgar Language
AUDZNTZ,"AWW, DEEZ NUTS",0,Vehicle Descriptions and Colors
HOP2BCH,HOP TO BITCH,0,Vehicle Descriptions and Colors
SIX GUN,SIX GUN,0,Vehicle Descriptions and Colors
LIL RCKT,LITTLE ROCKET (AS IS ROCKETSHIP),0,Vehicle Descriptions and Colors
SMKWEED,SMOKE WEED/MARIJUANA,2,"Gang, Drugs, and Street Culture"
RED DAWN,RED DAWN,1,Edgy Humor and Random Slang
BCH LUV,BEACH LOVE BITCH LOVE,0,Vehicle Descriptions and Colors
WTFLOCK,WTF LOCK(?),0,Vehicle Descriptions and Colors
DUKHNNT,DUCK HUNT (GAME),0,Vehicle Descriptions and Colors
RVSDCAT,RIVERSIDE CAT,0,Vehicle Descriptions and Colors
XPCTOPM,EXPECTO PATRONUM (MOVIE REFERENCE),0,Vehicle Descriptions and Colors
WCKD M3,WICKED(COOL),0,Vehicle Descriptions and Colors
R2 VAPE,VAPE,5,Sexual References
POPS 5O,FATHER OR 5-0 =POLICE,0,Vehicle Descriptions and Colors
MACHN G,MACHINE GUN,0,Vehicle Descriptions and Colors
SCDK,SUCK DICK,5,Sexual References
LILMEOW,LITTLE MEOW,0,Vehicle Descriptions and Colors
KLLER B,KILLER B(TYPE OF MOTOR),1,Edgy Humor and Random Slang
HAHABIH,HAHA BIH=BITCH,0,Vehicle Descriptions and Colors
BLUER2,BLUE R2-D2 (CHARACTER),0,Vehicle Descriptions and Colors
GRAMYWD,GRANDMA WOOD,0,Vehicle Descriptions and Colors
TACOMOB,TACO MOB,0,Vehicle Descriptions and Colors
2017 GT,2017 FORD GT,1,Edgy Humor and Random Slang
BTFD 15,BEAR THE FUCK DOWN (PHRASE),0,Vehicle Descriptions and Colors
SCUMMYY,SCUMMY,0,Vehicle Descriptions and Colors
AF FAMLY,AIR FORCE FAMILY OR AF = AS FUCK FAMILY,0,Vehicle Descriptions and Colors
TAIFTR,TIE FIGHTER FROM STAR WARS,0,Vehicle Descriptions and Colors
BB HEAD,HEAD=SEXUAL,5,Sexual References
USAGA,USA GREAT AGAIN,0,Vehicle Descriptions and Colors
AFEEM,ANOTHER NAME FOR OPIUM,2,"Gang, Drugs, and Street Culture"
BNHUNTN,BEEN HUNTING,0,Vehicle Descriptions and Colors
69 BOTCH,69(SEXUAL) BOTCH=BITCH,5,Sexual References
FAASS,FAT ASS,0,Vehicle Descriptions and Colors
CHN SMKG,CHAIN SMOKING,2,"Gang, Drugs, and Street Culture"
OSPRREY,OSPREY(BIRD),0,Vehicle Descriptions and Colors
KILABMR,KILLA(KILLER/COOL) BEAMER,0,Vehicle Descriptions and Colors
LYFISHT,LIFE IS SHORT OR LIFE IS SHIT,0,Vehicle Descriptions and Colors
KCKROCS,KICK ROCKS PHRASE MEANING GET OUT OF HERE,0,Vehicle Descriptions and Colors
NUQ 1724,NUKE 1724,0,Vehicle Descriptions and Colors
FKNBDAZ,FUCKING BADASS,0,Vehicle Descriptions and Colors
O61541L,NAME AND BIRTH,6,Personal Names and Sentiments
SIG 9MM,9MM GUN,0,Vehicle Descriptions and Colors
ACMPLCE,ACCOMPLICE,0,Vehicle Descriptions and Colors
SALTYAF,SALTY AS FUCK,0,Vehicle Descriptions and Colors
IBNUTTY,I BE NUTTY,0,Vehicle Descriptions and Colors
H77 GATO,SPANISH CAT,0,Vehicle Descriptions and Colors
DIDIER C,NAME,6,Personal Names and Sentiments
BOM 1,BOMB,0,Vehicle Descriptions and Colors
MYOUIJA,OUIJA(BOARD GAME),0,Vehicle Descriptions and Colors
FXR4GVN,FUCKS ARE FORGIVEN,3,Explicit and Vulgar Language
PEENT,peanut m OR peen=penis,5,Sexual References
MRDABZ,MISTER DABS(DRUG REFERENCE),2,"Gang, Drugs, and Street Culture"
BULLYOU,BULLY YOU,0,Vehicle Descriptions and Colors
BSDAN,BULLSHIT DAN,5,Sexual References
NUT ONE,NUT ONE,0,Vehicle Descriptions and Colors
GOP PWR,GOP(GRAND OLD PARTY) POWER,0,Vehicle Descriptions and Colors
VIILION,VILLAIN,0,Vehicle Descriptions and Colors
SNWBALL,SNOWBALL,0,Vehicle Descriptions and Colors
Z3X,Z3X=SEX,2,"Gang, Drugs, and Street Culture"
MOB SQD,MOB SQUAD,0,Vehicle Descriptions and Colors
GON2 HLL,NO MEANING ON REG 17 GOING(GONE) TO HELL,0,Vehicle Descriptions and Colors
CHPNHAM,CHOPPING HAM,0,Vehicle Descriptions and Colors
STKRKTY,STALKER KITTY,0,Vehicle Descriptions and Colors
PHUCIT1,FUCK IT,3,Explicit and Vulgar Language
BLEKCAT,BLACK CAT,0,Vehicle Descriptions and Colors
424 IZ,CA AREA CODE,4,Regional Pride and Area Codes
SPAZZY,SPAZZY(SPASTIC),0,Vehicle Descriptions and Colors
LTL BAST,LITTLE BASTARD,5,Sexual References
SOUL RED,SOULD RED,1,Edgy Humor and Random Slang
RC F YAH,[CAR NAME] FUCK YEA,1,Edgy Humor and Random Slang
GUN FTR,GUN FIGHTER,0,Vehicle Descriptions and Colors
NEGRA,NEGRA=BLACK IN SPANISH,1,Edgy Humor and Random Slang
LMALOSO,MALOSO=SPANISH INSULT,2,"Gang, Drugs, and Street Culture"
LYNPIPA,LAYING PIPE=SEX,5,Sexual References
INFIDIL,INFIDEL=RELIGIOUS NON-BELIEVER,0,Vehicle Descriptions and Colors
CHMPR$B,CHOMPER b=bitch?,0,Vehicle Descriptions and Colors
BNTOVER,BENT OVER (SEXUAL?),5,Sexual References
PIMP327,PIMP,0,Vehicle Descriptions and Colors
PHO KEW,FUCK YOU,3,Explicit and Vulgar Language
HIBDAZZ,HI BEDAZZLED OR HI BAD ASS,0,Vehicle Descriptions and Colors
HULNASP,HAULING ASS,0,Vehicle Descriptions and Colors
RDY2PLA,READY TO PLAY,5,Sexual References
IEATASS,I EAT ASS,0,Vehicle Descriptions and Colors
CAMLTQW,CAMEL TOE(SEXUAL),5,Sexual References
EASY,EASY,0,Vehicle Descriptions and Colors
WOODYLV,WOODY(SEXUAL) LOVE,5,Sexual References
EXTRMHT,EXTREME HATE OR EXTERMINATE,0,Vehicle Descriptions and Colors
H82BCGD,HATE TO BE CAGED,0,Vehicle Descriptions and Colors
TNT REX,TNT TREX,0,Vehicle Descriptions and Colors
CHP NOO,NO CHIP(AS IN PAINT),0,Vehicle Descriptions and Colors
SMK HERB,SMOKE HERB=WEED,2,"Gang, Drugs, and Street Culture"
SXXYHOE,SEXY HOE,0,Vehicle Descriptions and Colors
OH FACK,OH FUCK,3,Explicit and Vulgar Language
69LUV N,69 LOVIN,5,Sexual References
5 OH FOX,5-OH POLICE FOX(NEWS?),0,Vehicle Descriptions and Colors
SXXTY 9,69(SEXUAL),5,Sexual References
G19M69C,1969 GMC(CAR),1,Edgy Humor and Random Slang
FWLKILN,FOWL KILLIN,0,Vehicle Descriptions and Colors
RBSVAGE,RED BLACK SAVAGE,1,Edgy Humor and Random Slang
OVTHUGS,ORANGEVALE THUGS,0,Vehicle Descriptions and Colors
FN THING,FUCKING THING,3,Explicit and Vulgar Language
TACO TK,TACO TRUCK,0,Vehicle Descriptions and Colors
KAKEPOP,CAKE POP,0,Vehicle Descriptions and Colors
N2DEEP,IN TOO DEEP,0,Vehicle Descriptions and Colors
1BTCN VT,ONE BITCHIN CORVETTE,0,Vehicle Descriptions and Colors
BDKM VIB,BITCH DON’T KILL MY VIBE,0,Vehicle Descriptions and Colors
BLZN 51,BLAZING 1951(CAR YEAR),1,Edgy Humor and Random Slang
DKS 68,DICKS 68(REFERENCE TO 69?),5,Sexual References
REDSO5,NICKNAME(RED) AND YEAR OF BIKE,1,Edgy Humor and Random Slang
BYRNER,BURNER,0,Vehicle Descriptions and Colors
FCK 3,FUCK,3,Explicit and Vulgar Language
2 BLASÃ‰,TOO BLASA,0,Vehicle Descriptions and Colors
