plate,customer_meaning,cluster_label,cluster_meaning
1REDDEV,THE RED DEVIL ..MY TRUCK IS ALL RED,3,Diverse Personal Expressions
6T9GTX,6T9 IS FOR THE YEAR 1969 AND GTX IS THE  PLYMOUTH MODEL FROM THAT YEAR,2,Vehicle and Car Descriptions and Attributes
7X749ER,SAN FRANCISCO 49ER,1,Business and University Identities
8BURITO,I LIKE TO EAT BURRITOS,3,Diverse Personal Expressions
BRIGAND,A BRIGAND IS A MEMBER OF A GANG,3,Diverse Personal Expressions
DKHRS2,COULD LOOK LIKE DICK WHORES,3,Diverse Personal Expressions
OMG$EAT,ORMERE M GARCIA LOVES EDWARD A TREVINO,3,Diverse Personal Expressions
CAKVET,CHARLES ALBERT KNOWLES VETERAN,3,Diverse Personal Expressions
BLUSHU,MY CAR IS BLUE AND LOOKS LIKE A SHOE.,7,Colors and Descriptive Traits
F14TCAT,THE F14 TOMCAT WAS A FIGHTER PLANE  DEVELOPED FOR THE NAVY,1,Business and University Identities
2GO2BCH,TO GO TO BEACH,1,Business and University Identities
MFFL JJ5,MAVERICKS FAN FOR LIFE,1,Business and University Identities
1SINNER,MY BAND NAME,3,Diverse Personal Expressions
4O6 NOVA,ENGINE SIZE AND TYPE OF CAR,2,Vehicle and Car Descriptions and Attributes
XOXO G,"HUGS AND KISSES, GIVE",3,Diverse Personal Expressions
ALIEN G,ALIEN G-WAGON,2,Vehicle and Car Descriptions and Attributes
BLU BETY,BLUE BETTY,3,Diverse Personal Expressions
BRACAM,"BRA=BRASIL, CAM=SOCCER",3,Diverse Personal Expressions
BREZZZZ,NAME,0,Personal and Family names
CAT EME,CATARINA EMETCROO,6,Pet and Animal Themes
CMBJ 321,FAMILY INITIAL/KIDS BIRTHDAYS,4,Area code and Numbers
DIRTYX5,NO MEANING ON REG 17,4,Area code and Numbers
F VERA,FIRST NAME AND LAST NAME,0,Personal and Family names
GRMMYJO,GRAMMY JO,3,Diverse Personal Expressions
HBM1OO3,MY & MY HUSBANDS OLD PAGER CODES / GAMING CODES,3,Diverse Personal Expressions
KRABS,MR KRABS FROM THE CARTOON SPONGEBOB SQUARE PANTS,3,Diverse Personal Expressions
LV BLU6,LOVE BLUE 6 MY FATHER PLAYED FOR THE DODGERS AND HIS NUMBER WAS #6,1,Business and University Identities
ROJO RQR,RED ROCKER,7,Colors and Descriptive Traits
SEXY B7,"THIS JUST MEANS THAT THE CAR LOOKS GOOD, BECAUSE AS A CAR ENTHUSIAST I TRY MY BEST TO KEEP IT CLEAN AND NICE WITH EVERY MODIFICATION I MAKE. I WAS ALREADY DENIED ONCE",2,Vehicle and Car Descriptions and Attributes
SHARIF1,UNIVERSITY NAME,1,Business and University Identities
SICK14,2014 YEAR OF THE TRUCK SICK BECAUSE IS CUSTOM,2,Vehicle and Car Descriptions and Attributes
1DIRTY7,CARS NICKNAME,2,Vehicle and Car Descriptions and Attributes
4HEDMON,OUR FAMILY IS KNOWN AS THE FOUR HEADED MONSTER BECAUSE THERE ARE  FOUR OF US AND WE ARE ALWAYS TOGETHER,3,Diverse Personal Expressions
FLS BK,FLASH BACK,3,Diverse Personal Expressions
BLUE 24O,BLUE = GANG COLOR,5,Gang Color and Controversial Affiliations
JOY PINK,MY NAME IS JOY AND I LOVE THE COLOR PINK.,7,Colors and Descriptive Traits
DIXIT,MY LAST NAME IS DIXIT,0,Personal and Family names
DJ GATO,DJ NAME,3,Diverse Personal Expressions
GON NUTZ,NUTS,3,Diverse Personal Expressions
GROV TRK,GROOVE COULD BE A SEXUAL REFERENCE,3,Diverse Personal Expressions
KCKROCS,PHRASE MEANING GET OUT OF HERE,3,Diverse Personal Expressions
MALHII,LAST NAME,0,Personal and Family names
MCBUNN,OUR LAST NAMES COMBINED,0,Personal and Family names
MXCO8TL,"MIXCOATL, AN AZTEC NAME",3,Diverse Personal Expressions
NINGNSX,"NICK NAME ""NING"" CAR MAKE ""NSX""",2,Vehicle and Car Descriptions and Attributes
SNPDCSN,SNAP DECISION,3,Diverse Personal Expressions
FEOS 16,FEO UGLY,3,Diverse Personal Expressions
PAST GAS,PRIUS PLUG IN VEHICLE USES ELECTRICITY INSTEAD OF GAS. THIS CAR AND TECHNOLOGY IS PAST GAS.,2,Vehicle and Car Descriptions and Attributes
BLU MOBL,BLUE HHR CAR,7,Colors and Descriptive Traits
ACMETNT,HAVE A COYOTE ENGINE IN A MUSTANG AND WILIE COYOTE FROM LOONEY TOONES IS WHAT THE ACME TNT COMES FROM,3,Diverse Personal Expressions
HI OFISR,HI OFFICER,1,Business and University Identities
LDY TANK,LADY TANK,1,Business and University Identities
LFTD BRZ,LIFTED BRZ,3,Diverse Personal Expressions
PUL N GZ,AVIATION TERM,1,Business and University Identities
P VIDA,"PURA VIDA"" PURE LIFE FROM COSTA RICA",3,Diverse Personal Expressions
ROLNBIG,MY TRUCK IS LIFTED SO I WOULD BE ROLN BIG,2,Vehicle and Car Descriptions and Attributes
TROUT BM,TROUT BUM,3,Diverse Personal Expressions
213 RAMZ,LOS ANGELES RAMS,1,Business and University Identities
BLU JUSC,BLUE JUICE. I CALL MY CAR BLUEBERRY. :),7,Colors and Descriptive Traits
CWL 18,COASTAL WEST LIMOUSINE,1,Business and University Identities
BKISBEA,BLACK IS BEAUTIFUL,3,Diverse Personal Expressions
ARS VITA,ART LIFE,3,Diverse Personal Expressions
BAYSBLU,NAME AND CAR COLOR,7,Colors and Descriptive Traits
BIMB,OWNER'S LAST NAME,1,Business and University Identities
CHOPNWD,"MEANS ""CHOPPING WOOD"", OR WORKING HARD & STAYING FOCUSED ON THE TASK AT HAND.",3,Diverse Personal Expressions
FMCAT22,has a 1994 Mercury…? Pulled for cat=pussy,2,Vehicle and Car Descriptions and Attributes
KBJ,NAME,0,Personal and Family names
MAGA1,"GREEK WORD FOR TOUGH, STREETWISE, STRONG-HEARTED YOUTH",3,Diverse Personal Expressions
MOSH666,nickname,0,Personal and Family names
OMG S14,FIRST CAR,2,Vehicle and Car Descriptions and Attributes
SMITTYG,SMITH GILBERT,3,Diverse Personal Expressions
BLUBUGG,THE VEHICLE IS A BLUE VW BEETLE. THE PLATE'S  MEANING REFERS TO THE COLOR & CAR TYPE.,2,Vehicle and Car Descriptions and Attributes
BLUEJS,(TORONTO) BLUE JAYS,1,Business and University Identities
BLUESIX,THE CAR ITS GOING ON IS A BLUE CAR.,7,Colors and Descriptive Traits
BLUGUSE,ITS BLUE AND MY UNCLE NAMED HER THE BLUE  GOOSE.HAD AN OLD POSTER OF GOOSE IN IT WHEN I GOT IT FROM HIM.,7,Colors and Descriptive Traits
BLUSUN,SONG,3,Diverse Personal Expressions
DUCKHTR,DUCK HUNTER,3,Diverse Personal Expressions
DUKHNNT,NOSTALGIA FROM NINTENDO NES GAME DUCK HUNT,3,Diverse Personal Expressions
GRANDE1,BIG ONE,3,Diverse Personal Expressions
GRIPPER,IS A SHOW CAR SO IT WILL SUIT IT'S MODIFICATIONS FOR THE NAME OF THE PLATES,2,Vehicle and Car Descriptions and Attributes
GRNCAT,GREEN JAGUAR,2,Vehicle and Car Descriptions and Attributes
HPRV,IN THE MEMORY OF MY SON WHO PASSED AWAY.,0,Personal and Family names
ICUGRYL,I SEE YOU GIRL,3,Diverse Personal Expressions
KCANCER,KILL CANCER,3,Diverse Personal Expressions
MAACDRE,"FAVORITE HIP-HOP ARTIST ""MAC DRE""",3,Diverse Personal Expressions
MAAK888,"JUST FAMILY FIRST INITIALS:  MARIBETH, ALEJANDRO, ANTHONY & KATHLEEN",3,Diverse Personal Expressions
MACMACZ,"THE NAME OF MY TWO DAUGHTERS ""MACKENZIE"" AND  ""MACKAYLA"" WITH OUR LAST INITIAL ""Z""",0,Personal and Family names
MADMAC,FROM A MOVIE,3,Diverse Personal Expressions
NEED4SP,NEED FOR SPEED,2,Vehicle and Car Descriptions and Attributes
O3BIRD,2003 THUNDERBIRD,2,Vehicle and Car Descriptions and Attributes
O8STAR8,DAUGTHER NAME IN MEMORY,3,Diverse Personal Expressions
RDBIRDS,STLOUIS CARDINALS,1,Business and University Identities
RDTURTL,A NICK NAME GIVEN TO ME AS A SMALL CHILD,0,Personal and Family names
REDHOTY,GOING ON MY FIRE ENGINE RED CLASDIC YRUCK,3,Diverse Personal Expressions
R2KBA,SECOND AMENDMENT,3,Diverse Personal Expressions
SOUPTRP,SYMBOLIC TO MY GROUP OF FRIENDS,3,Diverse Personal Expressions
TALEHOO,ONWARD,1,Business and University Identities
VVWMVWV,LUCKY COMBINATION,1,Business and University Identities
17196,I AM A 911 DISPATCHER. GOLD REPRESENTS US.  MY BEST FRIEND WAS A CHP OFFICER WHO PASSED AWAY. THE BLACK REPRESENTS THE LOSS. 17196 IS HIS BADGE #,1,Business and University Identities
19SEXY3,CLASSIC IMPALA THE BODY HAS A LOT OF CURVES THAT IS THE REASON FOR ME REQUESTING THE PLATES SAYING SEXY IT'S A 1963 CHEVY IMPALA THANK YOU INADVENCE,2,Vehicle and Car Descriptions and Attributes
2SXY,TOO SEXY,3,Diverse Personal Expressions
5683H2O,LOVE WATER,3,Diverse Personal Expressions
64BLUBD,1964 BLUE COLORED THUNDERBIRD,2,Vehicle and Car Descriptions and Attributes
66993,USPSA MEMBERSHIP NUMBER,1,Business and University Identities
CAR$LG,MY NICK NAME,0,Personal and Family names
I$RDWDS,I LOVE REDWOODS,1,Business and University Identities
$ITLOUD,LOVE TO LISTEN TO LOUD MUSIC,3,Diverse Personal Expressions
I$2SKI,I LOVE SKING,3,Diverse Personal Expressions
LETZPLA,LET'S PLAY,3,Diverse Personal Expressions
ITSRED,THE CAR IS RED,7,Colors and Descriptive Traits
KRAZZ8,NICKNAME / FAVORITE NUMBER,4,Area code and Numbers
CATRESQ,CAT RESCUE,6,Pet and Animal Themes
7ROJO,SEVEN RED (SPANISH),3,Diverse Personal Expressions
BLUESVR,CAR NAME AND COLOR,7,Colors and Descriptive Traits
LOUDNOO,THAT IT IS NOT LOUD.,3,Diverse Personal Expressions
1YLDCAT,CAR DESIGNATION. IT'S A JAGUAR.,2,Vehicle and Car Descriptions and Attributes
AAA COMA,TRIPLE A TACOMA,2,Vehicle and Car Descriptions and Attributes
BK RSTR,"NAME OF MY RANCH, BLACK ROOSTER RANCH",3,Diverse Personal Expressions
BLURIDR,BLUE RIDER,7,Colors and Descriptive Traits
GRMCRPR,GRIM CREEPER 4WD CLUB MEMBER,3,Diverse Personal Expressions
KOTEK,KOTEK MEANS KITTEN IN POLISH LANGUAGE AND IS USED AS A TERM OF ENDEARMENT FOR A LOVED ONE,3,Diverse Personal Expressions
KOTEK 2,KOTEK IS A POLISH WORD FOR KITTEN A TERM OF ENDEARMENT,3,Diverse Personal Expressions
LAHOOD1,LAST NAME,0,Personal and Family names
LAHOOD2,LAST NAME,0,Personal and Family names
LAHOOD3,LAST NAME,0,Personal and Family names
LAHOOD4,LAST NAME,0,Personal and Family names
LO SMOKE,LOW EMISSION (IT'S FOR A HYBRID),2,Vehicle and Car Descriptions and Attributes
MANSTLR,"MAN STEALER, TO STEAL A MAN FROM SOMEONE ELSE.",3,Diverse Personal Expressions
TRLR KAT,TRAILER CAT,6,Pet and Animal Themes
GRMA CAT,ITS GRANDMA CATS CAR.,2,Vehicle and Car Descriptions and Attributes
GRRAMME,GRAMMY FOR MY GRAND KIDS,3,Diverse Personal Expressions
AHI BMW,"MY COMPANY,AHI CONSTRUCTION,BMW",1,Business and University Identities
BIG PET,BIG PET,3,Diverse Personal Expressions
CU SUDY,SEE YOU SUNDAY,3,Diverse Personal Expressions
FAT YODA,LARGE TOYOTA AND YODA FROM STAR WARS,2,Vehicle and Car Descriptions and Attributes
F TYPE 1,CAR TYPE,2,Vehicle and Car Descriptions and Attributes
GET BUK,PEARBLOSSOM,3,Diverse Personal Expressions
GTC ACR,CUSTOM BUILT AMERICAN CUP RACER,3,Diverse Personal Expressions
MUD LUSH,"FOR A JEEP THAT I TAKE OFFROAD IN THE MUD, ALSO I RUN MUD RUN RACES. A TAKE ON E E CUMMINGS ""MUDLUSCIOUS AND PUDDLEWONDERFUL""",2,Vehicle and Car Descriptions and Attributes
RDY2PLA,READY TO PLAY,3,Diverse Personal Expressions
SCHEEMN,OFFICE JOKE,3,Diverse Personal Expressions
SNOMANN,COLOR OF CAR,7,Colors and Descriptive Traits
DEAF DG,MY DOG IS DEAF,3,Diverse Personal Expressions
HUNT 19,HUNT AND THE YEAR 2019,3,Diverse Personal Expressions
33193,LOOK A LIKE,3,Diverse Personal Expressions
BLAQ BB,BLACK BEAUTY AND BRAINS,3,Diverse Personal Expressions
BLUBMBX,BLUE BOOM BOX,7,Colors and Descriptive Traits
GOH BLU,GO BLUE (MICHIGAN FOOTBALL TEAM CHEER),1,Business and University Identities
OBIG RED,RED,7,Colors and Descriptive Traits
1 BLK GUY,IT MEANS 1 BULKY (MUSCULAR) GUY,3,Diverse Personal Expressions
COCO$X5,COCO (MY NICKNAME) X 5 GRANDCHILDREN,3,Diverse Personal Expressions
AKLINE,ALASKA LINE,1,Business and University Identities
CTNTAIL,COTTON TAIL. CAR IS A VW RABBIT.,3,Diverse Personal Expressions
DODEJD,DOD IS THE CUSTOMERS INITIALS BUT IT COULD STAND FOR DEPARTMENT OF DEFENSE,1,Business and University Identities
GRIAR,"G, GANG REFERENCE",5,Gang Color and Controversial Affiliations
G77G,"G, GANG REFERENCE",5,Gang Color and Controversial Affiliations
LUI8899,"88, GANG REFERENCE",4,Area code and Numbers
NRAILA,NATIONAL RIFLE ASSOCIATION OF AMERICA  INSTITUE FOR LEAGAL ACTION,1,Business and University Identities
OGGICO,OGGI CORPORATION,3,Diverse Personal Expressions
1BOSS3,2013 BOSS 302,2,Vehicle and Car Descriptions and Attributes
5OTHCAM,50TH ANNIVERSARY CHEVY CAMARO,2,Vehicle and Car Descriptions and Attributes
515ODVR,"515O, SOME MAY FIND OFFENSIVE",1,Business and University Identities
BCHBRNC,BEACH BRONCO,3,Diverse Personal Expressions
CHIO BU,GOOD LOOKING,3,Diverse Personal Expressions
CR8ZBOY,NICK NAME,0,Personal and Family names
DAIGEST,CAN NOT TRANSLATE LOOKS LIKE DIGEST,3,Diverse Personal Expressions
HNT 4 FD,HUNT FOR FOOD,3,Diverse Personal Expressions
JEWSTIS,MY NAME.,0,Personal and Family names
MY8TH,THIS IS THE 8TH MUSTANG THAT I HAVE OWNED.,2,Vehicle and Car Descriptions and Attributes
NDMTBL1,INDOMITABLE ONE,3,Diverse Personal Expressions
PHT DUCK,NICKNAME,0,Personal and Family names
PON FARR,VULCAN COMING OF AGE,3,Diverse Personal Expressions
QUIET XF,QUIET JAGUAR XF,2,Vehicle and Car Descriptions and Attributes
RED DOG 2,ITS OUR SECOND RED TRUCK TO DRIVE OUR DOGS,2,Vehicle and Car Descriptions and Attributes
RNGEGRL,RANGE GIRL,3,Diverse Personal Expressions
SEA DIVE,ALTERNATE TO SCUBA DIVING,3,Diverse Personal Expressions
SMIDGEY,NICKNAME,0,Personal and Family names
SXYNHLS,SEXY IN HEELS,3,Diverse Personal Expressions
TRQ KING,TORQUE,3,Diverse Personal Expressions
TRQUE KG,TORQUE KING,3,Diverse Personal Expressions
UUFF DA,OH MY,3,Diverse Personal Expressions
XEQUiPT,I HAVE AN XTERRA AND I'M EQUIPT FOR FUN,3,Diverse Personal Expressions
YOGI CAT,I TEACH YOGA AND LOVE CATS,3,Diverse Personal Expressions
1CLNOPR,WASTEWATER OPERATOR,1,Business and University Identities
5150EVH,IT IS AN HOMAGE TO EDWARD VAN HALLEN AND HIS 5150 AMPLIFIER,3,Diverse Personal Expressions
7O CUUDA,1970 PLYMOUTH CUDA,2,Vehicle and Car Descriptions and Attributes
5JT&O13,JOE TRESA OLIVIER WEDDING ANNIV MAY 13,4,Area code and Numbers
GO BLUU,UNIVERSITY OF MICHIGAN RALLY PHRASE,1,Business and University Identities
BEETA,IM AN EXTERMINATOR,3,Diverse Personal Expressions
BLUGOLD,COLORS OF CALIFORNIA HIGHWAY PATROL OF WHICH INAM AN EMPLOYEE,7,Colors and Descriptive Traits
LLABSIC,L L LABS INC.,1,Business and University Identities
40 WATA,NICKNAME,0,Personal and Family names
XLR ATE,ACCELERATE,1,Business and University Identities
BL CAT7,no meaning on Reg 17,4,Area code and Numbers
BYANY MN,by any means necessary,3,Diverse Personal Expressions
I8PZZA,I ATE PIZZA,3,Diverse Personal Expressions
ROLLA 33,"ROLLA COULD BE A COROLLA BUT NO TOYOTA ON ANI, URBAN DICTIONARY SAYS ROLLA IS A HO",1,Business and University Identities
444BLUE,"worked for IBM ""big blue"" for 44 years",1,Business and University Identities
67KAT,"CAT=PUSSY, HAS TOYOTA (NO CAT CAR) AND NO 1967",2,Vehicle and Car Descriptions and Attributes
BI POLR,I HAVE LIVED ON BOTH THE NORTH AND SOUTH POLES.,1,Business and University Identities
B L MATR,NICKNAME,0,Personal and Family names
ELITE CP,NO MEANING ON REG 17,4,Area code and Numbers
GOT MUUD,MY SON IS A CEMENT MASON,1,Business and University Identities
RXMEDY,REMEDY,3,Diverse Personal Expressions
WEWANTU,WE WANT YOU,3,Diverse Personal Expressions
BAJA TRP,TRP=TENTACLE RAPE PORN. CUSTOMER LIVES IN DEL MAR (SAN DIEGO),3,Diverse Personal Expressions
BRAEBRN,"""BRAE"" COULD HAVE SEXUAL CONNOTATION",3,Diverse Personal Expressions
AV 67,"""AV"" ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION",3,Diverse Personal Expressions
ATOM 3S,ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION,3,Diverse Personal Expressions
RJ13 32H,LUCKY NUMBER,4,Area code and Numbers
ROLLO 2,DOGS NAME,3,Diverse Personal Expressions
SBCOCO9,COCO SLANG FOR COCAINE,3,Diverse Personal Expressions
13 CMARO,2013 CAMARO,2,Vehicle and Car Descriptions and Attributes
BOSS AC,PULLED FOR BOSS,1,Business and University Identities
MRSMEI3,I AM MRS MANUEL EDGAR IRVIN THE THIRD,3,Diverse Personal Expressions
SHESELS,SHE SELLS (I AM A SALESPERSON),1,Business and University Identities
YNG BOSS,I'M A YOUNG ENTREPRENEUR AND A TWENTY YEAR OLD BUSINESS OWNER! YOUNG BOSS :),1,Business and University Identities
BAD CAT3,"BAD CAT, AS IN MY CAR IS COOL BECAUSE IT HAS HELLO KITTY INTERIOR.",6,Pet and Animal Themes
I4 OHANA,IRWIN FAMILY,0,Personal and Family names
CNALOA4,SINALOA 4,3,Diverse Personal Expressions
DIESELG,MERCEDES BENZ DIESEL G CLASS.,2,Vehicle and Car Descriptions and Attributes
MY1TANK,I FEEL SAVE DRIVING MY TANK,3,Diverse Personal Expressions
POPZ69,MY FATHERS 1969 CHEVELLE.,2,Vehicle and Car Descriptions and Attributes
13BRZED,2013 BRZ (YEAR AND MODEL OF MY CAR),2,Vehicle and Car Descriptions and Attributes
13VIPER,2013 DODGE VIPER,2,Vehicle and Car Descriptions and Attributes
REDBNE,NICK NAME,0,Personal and Family names
ONFYAH,ON FIRE,3,Diverse Personal Expressions
RAMFRAN,FRAN IS RAM FAN,1,Business and University Identities
XILRATD,EXHILARATED,3,Diverse Personal Expressions
AG62,"G, GANG REFERENCE",5,Gang Color and Controversial Affiliations
BDELIC,ANIMATION IN PRODUCTION,3,Diverse Personal Expressions
BUSTED,ARRESTED,3,Diverse Personal Expressions
B4ULOL,BEFORE YOU,3,Diverse Personal Expressions
CHEFFIN,"WAY OF LIFE BEIING A CHEF, TO COOK FOOD AND HAVING FUN DOING IT",3,Diverse Personal Expressions
CHSTHS,"CHASE THIS, *MY NAME IS CHASE",0,Personal and Family names
DMSDYD,DOOMSDAY DEFENSE OF THE DALLAS COWBOYS,1,Business and University Identities
EMTANK,EM= EARLY MORNING TANK= COLOR AND NAME OF JEEP,2,Vehicle and Car Descriptions and Attributes
EVOFITG,BIZ NAME AND MY INITIAL,1,Business and University Identities
FEEVOX,FINAL EDITION MITSUBISHI EVOLUTION TEN,1,Business and University Identities
GNTSFN2,SF GIANTS FAN,1,Business and University Identities
JOHANG,THE NAME OF MY SON,0,Personal and Family names
MEMOSG,OWNER'S NICK NAME AND MODEL OF CAR,2,Vehicle and Car Descriptions and Attributes
RAMMA,LOS ANGELES RAMS MOM,1,Business and University Identities
X69C1OX,1969 CHEVY C10 PICKUP,2,Vehicle and Car Descriptions and Attributes
38OSL83,CAR IS A 1983 380SL,2,Vehicle and Car Descriptions and Attributes
SHNKWA,NAME OF MY DOG IS SHANIKWA.,3,Diverse Personal Expressions
2HRD2L,TO HARD TO HANDLE,3,Diverse Personal Expressions
BBKATE,BABY KATE,3,Diverse Personal Expressions
FEEQUUS,FE = IRON; EQUUS = HORSE; IRON HORSE =  MOTORCYCLE;,3,Diverse Personal Expressions
IBLDBLU,DODGERS,1,Business and University Identities
DRRNBOW,DOCTOR RAINBOW,1,Business and University Identities
EVIL 2,NAME FOR MY CUSTOM DUNE BUGGY.,3,Diverse Personal Expressions
LJ BLUE,"LJ IS MY GITL FRIEND'S NAME, BLUE IS HER FAVORITE COLOR",3,Diverse Personal Expressions
POTUS 1,"""PRESIDENT OF THE UNITED STATES""",1,Business and University Identities
PPP CBH,FAMILY INITIALS,0,Personal and Family names
TWO2RED,I RIDE A RED DIRT BIKE AND THE VAN WILL BE RED ALSO,7,Colors and Descriptive Traits
V8 CAT,V8 CAT,6,Pet and Animal Themes
2 NVRDUI,PROMISE TO NVR DUI,3,Diverse Personal Expressions
9O S13,YEAR AND MODEL OF CAR,2,Vehicle and Car Descriptions and Attributes
BLEUDOG,THE NAME OF ONE OF OUR DOGS,3,Diverse Personal Expressions
JAZZCAT,LOVER OF JAZZ MUSIC AND PET CATS,3,Diverse Personal Expressions
AKANUGE,NUGE REFERES TO TED NUGENT WHO IS A ROCKER WHO SLEPT WITH A LOT OF WOMAN AND DID A LOT OF DRUGS,3,Diverse Personal Expressions
CATJES,"CAT, SEXUAL REFERENCE",3,Diverse Personal Expressions
E11913G,"13G AT THE END STANDS OUT, COULD BE GANG REFERENCE",5,Gang Color and Controversial Affiliations
NISSHOT,"SHOT, WEAPON REFERENCE",1,Business and University Identities
NOV1614,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
REDSAUX,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
VAPOR16,"VAPOR, DRUG REFERENCE",3,Diverse Personal Expressions
VRYLOUD,LOUD IS A WORD THAT CAN BE USED TO DESCRIBE STRONG SMELLIN MARIJUNA,3,Diverse Personal Expressions
WLFCLAN,"CLAN, GANG REFERENCE",5,Gang Color and Controversial Affiliations
1TIMO4,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
1962,ALL DIGITS,4,Area code and Numbers
1976C2O,LOOK ALIKE,3,Diverse Personal Expressions
567,ALL DIGITS,4,Area code and Numbers
67ZBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",7,Colors and Descriptive Traits
73MBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",7,Colors and Descriptive Traits
ORTOFON,"COULD BE ""OR TO FUCK ON""",3,Diverse Personal Expressions
IRSHRED,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
ALXHUNT,ABBREVIATION FOR ALEXANDRIA AND HUNTER,3,Diverse Personal Expressions
BENNNZO,ITS FOR MY MERCEDES BENZ,2,Vehicle and Car Descriptions and Attributes
BLUE886,BLUE IS THE COLOR OF MY COLOR AND I LOVE  THIS COLOR,7,Colors and Descriptive Traits
DBLNDWN,DOUBLE DOWN AS IN STOCKS,1,Business and University Identities
EJMAC,MY NICK NAME.,0,Personal and Family names
GCASINI,L CASINI,3,Diverse Personal Expressions
GIGI614,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
HNTDEER,HUNT DEER,3,Diverse Personal Expressions
HOOTROD,HOOT IS A FUN SAYING( THIS IS A HOOT) ROD IS A FUN CAR,3,Diverse Personal Expressions
LALOZSS,NAME AND TYPE OF CAR,2,Vehicle and Car Descriptions and Attributes
LIZLEEN,LEEN COULD STAND FOR LEAN WHICH IS A NARCOTIC DRINK WITH PROMETHAZINE IN IT,3,Diverse Personal Expressions
LMNSBLU,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
MOJORSG,NICK NAME FOR JIM MORRISON OF THE DOORS MUSIC GROUP,1,Business and University Identities
MYBYRD,BIRD CAN BE ANOTHER WORD FOR COCAINE,3,Diverse Personal Expressions
MY997TT,PORSCHE 997 TWIN TURBO,2,Vehicle and Car Descriptions and Attributes
NTNLESS,NOTHING LESS,3,Diverse Personal Expressions
NWNWMWM,ITS THE SOUND MY CAR MAKES ON STARTUP,2,Vehicle and Car Descriptions and Attributes
OOO99,9 IS MY LUCKY NUMBER; THIS IS A COOL  CONFIGURATION THAT LOOKS LIKE LOW PLATE,1,Business and University Identities
PUNN,NICKNAME,0,Personal and Family names
PZZABOX,"I OWN A PIZZA PLACE AND MY CAR IS A SCION XB (BOX CAR), THEREFOR IT IS A PIZZA BOX",2,Vehicle and Car Descriptions and Attributes
RDSTRV8,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
REDROCT,FOR MY RED CAR I CALL THE ROCKET,2,Vehicle and Car Descriptions and Attributes
RED7PNY,THE CAR IS A 67 MUSTANG AND THE COLOR IS RED,7,Colors and Descriptive Traits
SADLUP,SADDLE UP COULD BE A SEXUAL STATEMENT,3,Diverse Personal Expressions
SPDEMON,SPD CAN BE A DRUG REFERENCE AND SOME PEOPLE MAY FIND DEMON AS A HOSTILE TERM,3,Diverse Personal Expressions
SWTTPIE,MY CAT'S NAME IS SWEETIE,6,Pet and Animal Themes
18743,THIS IS MY CHP BADGE NUMBER.,3,Diverse Personal Expressions
2O16CAT,HELLCAT 2016 DODGE CHALLENGER,2,Vehicle and Car Descriptions and Attributes
2525,ALL DIGITS,4,Area code and Numbers
37RED,MODEL OF VEHICLE,2,Vehicle and Car Descriptions and Attributes
4CHACHA,CHA CHA CAN BE ANOTHER WORD FOR A WOMANS VAGINA,3,Diverse Personal Expressions
4545,ALL DIGITS,4,Area code and Numbers
568,MY MOM'S LUCKY NUMBER,4,Area code and Numbers
74MEOW,MEOW LOVES CATS AND BIRTH YEAR,6,Pet and Animal Themes
8OF13,"13, GANG REFERENCE",5,Gang Color and Controversial Affiliations
81O,MOTOCROSS NUMBER,1,Business and University Identities
BL$EBRD,BLUEBIRD,3,Diverse Personal Expressions
I$MALLY,WIFES NIKNAME,3,Diverse Personal Expressions
6O76,UNITED STATES MARINE CORPS AIR WING HYDRAULIC MECHANIC,1,Business and University Identities
AMADORK,LAST NAME,0,Personal and Family names
HNT1GLF,"HUNT, WEAPON REFERENCE",3,Diverse Personal Expressions
PRUS8TR,EAT PRIUS,3,Diverse Personal Expressions
RU4WEEL,I AM IN A WHEELCHAIR AND IT IS A PLAY ON  WORDS. ARE YOU FOR REAL? RU 4WEEL IMPLYING ARE YOU IN A WHEELCHAIR?,3,Diverse Personal Expressions
4UQTPIE,"PIE, SEXUAL TERM FOR A WOMANS VAGINA",3,Diverse Personal Expressions
BLUEHOG,BLUE HARLEY DAVIDSON MOTORCYCLE,2,Vehicle and Car Descriptions and Attributes
BLUROCT,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
TOHSPOT,CALIFORNIA - TOURIST HOT SPOT,1,Business and University Identities
AF ROMEO,ALFA ROMEO,2,Vehicle and Car Descriptions and Attributes
CTC M18,CECCHINI TRUCKING MINUS 18,1,Business and University Identities
DHWOOD1,DAGO HARDWOOD,1,Business and University Identities
DHWOOD2,DAGO HARDWOOD,1,Business and University Identities
F TYPEE,IT IS THE MODEL OF MY CAR,2,Vehicle and Car Descriptions and Attributes
