plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
BLUSUN,SONG,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
DUCKHTR,DUCK HUNTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DUKHNNT,NOSTALGIA FROM NINTENDO NES GAME DUCK HUNT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
GRANDE1,BIG ONE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
GRIPPER,IS A SHOW CAR SO IT WILL SUIT IT'S MODIFICATIONS FOR THE NAME OF THE PLATES,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GRNCAT,GREEN JAGUAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
HPRV,IN THE MEMORY OF MY SON WHO PASSED AWAY.,Personal and Family names,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
ICUGRYL,I SEE YOU GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KCANCER,KILL CANCER,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
MAACDRE,"FAVORITE HIP-HOP ARTIST ""MAC DRE""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MAAK888,"JUST FAMILY FIRST INITIALS:  MARIBETH, ALEJANDRO, ANTHONY & KATHLEEN",Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
MACMACZ,"THE NAME OF MY TWO DAUGHTERS ""MACKENZIE"" AND  ""MACKAYLA"" WITH OUR LAST INITIAL ""Z""",Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
MADMAC,FROM A MOVIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NEED4SP,NEED FOR SPEED,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
O3BIRD,2003 THUNDERBIRD,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Gang Color and Controversial Affiliations,Pet and Animal Themes
O8STAR8,DAUGTHER NAME IN MEMORY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RDBIRDS,STLOUIS CARDINALS,Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
RDTURTL,A NICK NAME GIVEN TO ME AS A SMALL CHILD,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names
REDHOTY,GOING ON MY FIRE ENGINE RED CLASDIC YRUCK,Diverse Personal Expressions,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
R2KBA,SECOND AMENDMENT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
SOUPTRP,SYMBOLIC TO MY GROUP OF FRIENDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TALEHOO,ONWARD,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VVWMVWV,LUCKY COMBINATION,Business and University Identities,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
17196,I AM A 911 DISPATCHER. GOLD REPRESENTS US.  MY BEST FRIEND WAS A CHP OFFICER WHO PASSED AWAY. THE BLACK REPRESENTS THE LOSS. 17196 IS HIS BADGE #,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
19SEXY3,CLASSIC IMPALA THE BODY HAS A LOT OF CURVES THAT IS THE REASON FOR ME REQUESTING THE PLATES SAYING SEXY IT'S A 1963 CHEVY IMPALA THANK YOU INADVENCE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2SXY,TOO SEXY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
5683H2O,LOVE WATER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
64BLUBD,1964 BLUE COLORED THUNDERBIRD,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
66993,USPSA MEMBERSHIP NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
CAR$LG,MY NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
I$RDWDS,I LOVE REDWOODS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
$ITLOUD,LOVE TO LISTEN TO LOUD MUSIC,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
I$2SKI,I LOVE SKING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LETZPLA,LET'S PLAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ITSRED,THE CAR IS RED,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
KRAZZ8,NICKNAME / FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CATRESQ,CAT RESCUE,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
7ROJO,SEVEN RED (SPANISH),Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Diverse Personal Expressions
BLUESVR,CAR NAME AND COLOR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LOUDNOO,THAT IT IS NOT LOUD.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1YLDCAT,CAR DESIGNATION. IT'S A JAGUAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
AAA COMA,TRIPLE A TACOMA,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BK RSTR,"NAME OF MY RANCH, BLACK ROOSTER RANCH",Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLURIDR,BLUE RIDER,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
GRMCRPR,GRIM CREEPER 4WD CLUB MEMBER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
KOTEK,KOTEK MEANS KITTEN IN POLISH LANGUAGE AND IS USED AS A TERM OF ENDEARMENT FOR A LOVED ONE,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
KOTEK 2,KOTEK IS A POLISH WORD FOR KITTEN A TERM OF ENDEARMENT,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LAHOOD1,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LAHOOD2,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LAHOOD3,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LAHOOD4,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LO SMOKE,LOW EMISSION (IT'S FOR A HYBRID),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
MANSTLR,"MAN STEALER, TO STEAL A MAN FROM SOMEONE ELSE.",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
TRLR KAT,TRAILER CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
GRMA CAT,ITS GRANDMA CATS CAR.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
GRRAMME,GRAMMY FOR MY GRAND KIDS,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AHI BMW,"MY COMPANY,AHI CONSTRUCTION,BMW",Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BIG PET,BIG PET,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
CU SUDY,SEE YOU SUNDAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FAT YODA,LARGE TOYOTA AND YODA FROM STAR WARS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
F TYPE 1,CAR TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GET BUK,PEARBLOSSOM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
GTC ACR,CUSTOM BUILT AMERICAN CUP RACER,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MUD LUSH,"FOR A JEEP THAT I TAKE OFFROAD IN THE MUD, ALSO I RUN MUD RUN RACES. A TAKE ON E E CUMMINGS ""MUDLUSCIOUS AND PUDDLEWONDERFUL""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
RDY2PLA,READY TO PLAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SCHEEMN,OFFICE JOKE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
SNOMANN,COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
DEAF DG,MY DOG IS DEAF,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
HUNT 19,HUNT AND THE YEAR 2019,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
33193,LOOK A LIKE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
BLAQ BB,BLACK BEAUTY AND BRAINS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUBMBX,BLUE BOOM BOX,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Diverse Personal Expressions
GOH BLU,GO BLUE (MICHIGAN FOOTBALL TEAM CHEER),Business and University Identities,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
OBIG RED,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
1 BLK GUY,IT MEANS 1 BULKY (MUSCULAR) GUY,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
COCO$X5,COCO (MY NICKNAME) X 5 GRANDCHILDREN,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
AKLINE,ALASKA LINE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
CTNTAIL,COTTON TAIL. CAR IS A VW RABBIT.,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DODEJD,DOD IS THE CUSTOMERS INITIALS BUT IT COULD STAND FOR DEPARTMENT OF DEFENSE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GRIAR,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
G77G,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
LUI8899,"88, GANG REFERENCE",Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Personal and Family names
NRAILA,NATIONAL RIFLE ASSOCIATION OF AMERICA  INSTITUE FOR LEAGAL ACTION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
OGGICO,OGGI CORPORATION,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations
1BOSS3,2013 BOSS 302,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
5OTHCAM,50TH ANNIVERSARY CHEVY CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
515ODVR,"515O, SOME MAY FIND OFFENSIVE",Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
BCHBRNC,BEACH BRONCO,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
CHIO BU,GOOD LOOKING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
CR8ZBOY,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DAIGEST,CAN NOT TRANSLATE LOOKS LIKE DIGEST,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HNT 4 FD,HUNT FOR FOOD,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
JEWSTIS,MY NAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MY8TH,THIS IS THE 8TH MUSTANG THAT I HAVE OWNED.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
NDMTBL1,INDOMITABLE ONE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
PHT DUCK,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PON FARR,VULCAN COMING OF AGE,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
QUIET XF,QUIET JAGUAR XF,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RED DOG 2,ITS OUR SECOND RED TRUCK TO DRIVE OUR DOGS,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
RNGEGRL,RANGE GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SEA DIVE,ALTERNATE TO SCUBA DIVING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
SMIDGEY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SXYNHLS,SEXY IN HEELS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TRQ KING,TORQUE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
TRQUE KG,TORQUE KING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
UUFF DA,OH MY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
XEQUiPT,I HAVE AN XTERRA AND I'M EQUIPT FOR FUN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YOGI CAT,I TEACH YOGA AND LOVE CATS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1CLNOPR,WASTEWATER OPERATOR,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
5150EVH,IT IS AN HOMAGE TO EDWARD VAN HALLEN AND HIS 5150 AMPLIFIER,Diverse Personal Expressions,Area code and Numbers,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
7O CUUDA,1970 PLYMOUTH CUDA,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
5JT&O13,JOE TRESA OLIVIER WEDDING ANNIV MAY 13,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GO BLUU,UNIVERSITY OF MICHIGAN RALLY PHRASE,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities,Business and University Identities
BEETA,IM AN EXTERMINATOR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUGOLD,COLORS OF CALIFORNIA HIGHWAY PATROL OF WHICH INAM AN EMPLOYEE,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
LLABSIC,L L LABS INC.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
40 WATA,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XLR ATE,ACCELERATE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BL CAT7,no meaning on Reg 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BYANY MN,by any means necessary,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
I8PZZA,I ATE PIZZA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ROLLA 33,"ROLLA COULD BE A COROLLA BUT NO TOYOTA ON ANI, URBAN DICTIONARY SAYS ROLLA IS A HO",Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
444BLUE,"worked for IBM ""big blue"" for 44 years",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
67KAT,"CAT=PUSSY, HAS TOYOTA (NO CAT CAR) AND NO 1967",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Colors and Descriptive Traits
BI POLR,I HAVE LIVED ON BOTH THE NORTH AND SOUTH POLES.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
B L MATR,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ELITE CP,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
GOT MUUD,MY SON IS A CEMENT MASON,Business and University Identities,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
RXMEDY,REMEDY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WEWANTU,WE WANT YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BAJA TRP,TRP=TENTACLE RAPE PORN. CUSTOMER LIVES IN DEL MAR (SAN DIEGO),Diverse Personal Expressions,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
BRAEBRN,"""BRAE"" COULD HAVE SEXUAL CONNOTATION",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
AV 67,"""AV"" ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION",Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions
ATOM 3S,ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
RJ13 32H,LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
ROLLO 2,DOGS NAME,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
SBCOCO9,COCO SLANG FOR COCAINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
13 CMARO,2013 CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BOSS AC,PULLED FOR BOSS,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
MRSMEI3,I AM MRS MANUEL EDGAR IRVIN THE THIRD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
SHESELS,SHE SELLS (I AM A SALESPERSON),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YNG BOSS,I'M A YOUNG ENTREPRENEUR AND A TWENTY YEAR OLD BUSINESS OWNER! YOUNG BOSS :),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BAD CAT3,"BAD CAT, AS IN MY CAR IS COOL BECAUSE IT HAS HELLO KITTY INTERIOR.",Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
I4 OHANA,IRWIN FAMILY,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
CNALOA4,SINALOA 4,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
DIESELG,MERCEDES BENZ DIESEL G CLASS.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MY1TANK,I FEEL SAVE DRIVING MY TANK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
POPZ69,MY FATHERS 1969 CHEVELLE.,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
13BRZED,2013 BRZ (YEAR AND MODEL OF MY CAR),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
13VIPER,2013 DODGE VIPER,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
REDBNE,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ONFYAH,ON FIRE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
RAMFRAN,FRAN IS RAM FAN,Business and University Identities,Personal and Family names,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Business and University Identities
