index,plate,meaning,classification,string_classification
538,FXXK IT,FUCK IT,5,"Defiant, Rebellious, Aggressive"
539,UEMEFER,YOU MOTHER FUCKER,5,"Defiant, Rebellious, Aggressive"
540,RDNKBMW,RED NECK BMW,1,"Humor, Personal, Playful"
541,KATS T,WIFE NAME AND T FOR TESLA,4,"Profanity, Drugs, Gang References"
542,FUCCGRL,FUCK GIRL,5,"Defiant, Rebellious, Aggressive"
543,USQUIRT,POKEMON CHARACTER SQUIRT CAN BE SEXUAL,4,"Profanity, Drugs, Gang References"
544,LIT ASF,LIT AS FUCK,5,"Defiant, Rebellious, Aggressive"
545,SAWCY,SAUCEY,8,"Sexual, Provocative"
546,4FNSIZE,NICKNAME FN-FUN SIZE,4,"Profanity, Drugs, Gang References"
547,BORN N14,BORN IN 2014,1,"Humor, Personal, Playful"
548,IVAN G,MY NAME GAS IN GANGSTER,1,"Humor, Personal, Playful"
549,S3MWFYB,MY WAY FUCK YOUR BITCH,5,"Defiant, Rebellious, Aggressive"
550,FEAR13,MILITARY NICKNAME AND LUCKY NUMBER 13-GANG,0,"Weapons, Cars, Masculine Themes"
551,MMEOW,MEOW,5,"Defiant, Rebellious, Aggressive"
552,TVTOY14,TEMECULA VALKLEY TOYOTA 14,7,"Sports, Teams, Regional"
553,PHUQYUU,FUCK YOU,5,"Defiant, Rebellious, Aggressive"
554,BIG WJ69,BIG [INITALS] 69,4,"Profanity, Drugs, Gang References"
555,TRLR KAT,TRAILER CAT,1,"Humor, Personal, Playful"
556,BANGUM,BANG=SEX/FUCK UM=THEM,4,"Profanity, Drugs, Gang References"
557,CHIHOE,THIS IS MY LEGAL FIRST NAME,1,"Humor, Personal, Playful"
558,9246O,JUMBLE OF 69 AND 420,8,"Sexual, Provocative"
559,FUCF,FIGHT UNTIL CURE FOUND. FU STANDS FOR FUCK YOU,6,"Humorous, Quirky, Personal"
560,LA PICA,pica means cunt in Czech,2,"Sexual, Offensive, Controversial"
561,DMNWTHN,THE MAN WITHIN DEMON WITHIN,1,"Humor, Personal, Playful"
562,BEACHO,BICHO means penis in puerto rican slang,2,"Sexual, Offensive, Controversial"
563,REDSPD,MY CAR IS A RED MAZDASPEED 3,1,"Humor, Personal, Playful"
564,WTFBRAH,WHAT THE FUCK BRO,5,"Defiant, Rebellious, Aggressive"
565,MUFTA,MUFTA MEANS NO POINT,2,"Sexual, Offensive, Controversial"
566,HUNEEZ B,HONEYS B B=BITCH,4,"Profanity, Drugs, Gang References"
567,CHAMP14,KEVIN HARVICK NASCAR CHAMP 2014,7,"Sports, Teams, Regional"
568,WFTDAD,WIRE FOX TERRIER DAD WFT LOOKS TOO SIMILAR TO WTF WHICH STANDS FOR WHAT THE FUCK,6,"Humorous, Quirky, Personal"
569,KOCHINA,"COCHINA-DIRTY, LOUSY, SOW",2,"Sexual, Offensive, Controversial"
570,DBOMBSS,DBOMB=THE BOMB = GOOD LOOKING 96 IMPALA SS,4,"Profanity, Drugs, Gang References"
571,KRAZEK9,CRAZY DOG,1,"Humor, Personal, Playful"
572,XCOP TOY,EX-COP TOY,7,"Sports, Teams, Regional"
573,LVT DRTY,WE LOVE USING OUR SUV FOR OFFROADING/CAMPING. ITS OFTEN DIRTY FROM THE DIRT ROADS.,6,"Humorous, Quirky, Personal"
574,FJ$TACO,TOYOTA FJ CRUISER AND TOYOTA TACOMA,0,"Weapons, Cars, Masculine Themes"
575,YOULIVE,YOU LIVE,1,"Humor, Personal, Playful"
576,SCLBUZZ,BLACK YELLOW FAMILY JEEP(BUMBLE BEE) BUZZ HIGH,4,"Profanity, Drugs, Gang References"
577,IDGAF XO,I DON'T GIVE A FUCK KISSES HUGS,5,"Defiant, Rebellious, Aggressive"
578,NOBDYMV,NO BODY MOVE,1,"Humor, Personal, Playful"
579,5STAR HH,5 STAR HOME HEALTH,1,"Humor, Personal, Playful"
580,FN KWIK,FUCKIN QUICK,5,"Defiant, Rebellious, Aggressive"
581,MOS DOPE,MOST DOPE=GOOD,4,"Profanity, Drugs, Gang References"
582,APPLPIE,APPLE PIE,7,"Sports, Teams, Regional"
583,DAM DXTR,DAMN DEXTER,5,"Defiant, Rebellious, Aggressive"
584,LVE HYB,love for hyrbrid cars,7,"Sports, Teams, Regional"
585,MMEOWWW,CAT LOVER,1,"Humor, Personal, Playful"
586,POS FRD,POSITIVE FRIENDS PIECE OF SHIT,5,"Defiant, Rebellious, Aggressive"
587,BLU 1DER,BLUE WONDER-THE VEHICLE COLOR IS BLUE,0,"Weapons, Cars, Masculine Themes"
588,RAPTOR N,RAPTORING FOR A FORD RAPTOR TRUCK,7,"Sports, Teams, Regional"
589,THE BAUM,THE BOMB,1,"Humor, Personal, Playful"
590,GTKILLA,GOOD TQUILA OR GT KILLA(KILLER),4,"Profanity, Drugs, Gang References"
591,WELUVPS,WE LOVE PALM SPRINGS LOOKS LIKE WE LOVE PUSSY,8,"Sexual, Provocative"
592,COPMNOT,GOING ON A CROWN VICTORIA POLICE INTERCEPTOR. LETTING EVERYONE IM NOT A COP.,6,"Humorous, Quirky, Personal"
593,KLYNSFX,CLEAN AS FUCK,5,"Defiant, Rebellious, Aggressive"
594,AKBREW2,ALASKAN BREWING,7,"Sports, Teams, Regional"
595,1 RDSKN,NUMBER 1 WASHINGTON REDSINS FAN. MY FAVORITE NFL TEAM,3,"Personal, Family, Sentimental"
596,RYITBLU,RED WHITE BLUE,7,"Sports, Teams, Regional"
597,CLN TDI,CLEAN TDI (DIESEL),7,"Sports, Teams, Regional"
598,FN RAMS,FUCKING RAMS,5,"Defiant, Rebellious, Aggressive"
599,PHAUXTO,FUCKS TOO,8,"Sexual, Provocative"
600,51OAK,AREA CODE/ CITY,4,"Profanity, Drugs, Gang References"
601,TAKO TRK,TACO TRUCK,7,"Sports, Teams, Regional"
602,CRWD KLA,CROWD KILLER,8,"Sexual, Provocative"
603,OGSLICE,OG ORIGINAL GANGSTER SLICE=NICKNAME,1,"Humor, Personal, Playful"
604,HTBTCH,hot bitch,5,"Defiant, Rebellious, Aggressive"
605,CHINO 13,"CITY I LIVE IN 13=GANG NUMBER, NO 2013 CAR ON ANI",4,"Profanity, Drugs, Gang References"
606,BLINKAF,BLINK AS FUCK,5,"Defiant, Rebellious, Aggressive"
607,NEGRADF,"SPANISH MEANING FOR ; NEGRA=BLACK D=OFF DF=DA FUCK OR DUMB FUCK. OR COULD BE ABBREVIATION FOR MEXICO CITY (FEDERAL DISTRICT, THE CAPITAL) NEGRA=BLACK",2,"Sexual, Offensive, Controversial"
608,MRSUCIO,MR SUCIO MEANS MR DIRT NICKNAME BECAUSE IM ALWAYS DRIVING IN THE DIRTS ROADS,6,"Humorous, Quirky, Personal"
609,STUS WLY,"STUS WILLY, WILLIE=PENISâ€¦ NO JEEP ON ANI",4,"Profanity, Drugs, Gang References"
610,WALK BCH,WALK BITCH,8,"Sexual, Provocative"
611,PHOK1T,SIMILAR TO FUCK IT,8,"Sexual, Provocative"
612,ILOVECM,LOOKS LIKE I LOVE CUM,1,"Humor, Personal, Playful"
613,2LVNDIE,TO LOVE AND DIE,8,"Sexual, Provocative"
614,UCNGTIT,"YOU CAN GET IT, SEXUAL CONNOTATION",4,"Profanity, Drugs, Gang References"
615,YRAPUNK,YOURE A PUNK,8,"Sexual, Provocative"
616,SREDRUM,IT SAYS MURDERS BACKWARDS,4,"Profanity, Drugs, Gang References"
617,FK OIL,FUCK OIL,5,"Defiant, Rebellious, Aggressive"
618,GILZ442,GILZ IS MY NAME AND 442 IS THE MODEL OF THE CAR,6,"Humorous, Quirky, Personal"
619,BLEU NV,BLUE ENVY,1,"Humor, Personal, Playful"
620,SMKGTIR,SMOKING TIRE,8,"Sexual, Provocative"
621,HGOKAT1,MY NAME AND WIFES NAME,8,"Sexual, Provocative"
622,GNZNAMO,GUNS AND AMMO,7,"Sports, Teams, Regional"
623,BCHLILY,BCH = BITCH ILY=I LOVE YOU?,2,"Sexual, Offensive, Controversial"
624,HIEYO,"HI-YO, A RIDERS CALL",4,"Profanity, Drugs, Gang References"
625,BJAVNTR,BERT AND JEN ADVENTURE. ROAD TRIP VEHICLE BJ=SEXUAL REFERENCE?,2,"Sexual, Offensive, Controversial"
626,5MFKIDS,FIVE MOTHERFUCKING KIDS!,5,"Defiant, Rebellious, Aggressive"
627,BLLNDRT,BALL IN DIRT-BASEBALL REFERENCE,4,"Profanity, Drugs, Gang References"
628,GFATHER,GOOD DAD,5,"Defiant, Rebellious, Aggressive"
629,SHHKAKA,KAKA=SHIT,2,"Sexual, Offensive, Controversial"
630,MURDRAF,MURDER AS FUCK,5,"Defiant, Rebellious, Aggressive"
631,FUQYOU1,FUCK YOU,5,"Defiant, Rebellious, Aggressive"
632,I WAX M,"WASH AND WAX CARS FOR A LIVING. MEANS I WAX CARS. I WAXEM, WAX COULD BE TO WAX PRIVATES OR TO HAVE SEX",6,"Humorous, Quirky, Personal"
633,CULI SIN,"CULI, PLURAL CULO, ASS",2,"Sexual, Offensive, Controversial"
634,2LONG4U,TOO LONG FOR YOU,5,"Defiant, Rebellious, Aggressive"
635,UBER RED,I DRIVE FOR UBER BUT DO NOT QUALIFY FOR UBER BLACK SINCE MY CAR IS RED. SO I AM UBER RED,6,"Humorous, Quirky, Personal"
636,KCKRCKS,KICK ROCKS,8,"Sexual, Provocative"
637,GYSOT 69,GET YOU SOME OF THAT 69(SEXUAL),4,"Profanity, Drugs, Gang References"
638,TUG,THANK YOU GOG(GOOD OLD GAMES),4,"Profanity, Drugs, Gang References"
639,BABEBLU,WE LOVE OUR NEW BLUE VEHICLE!,4,"Profanity, Drugs, Gang References"
640,WT WLY,"WET WILLY, 2 SIMILAR CONFIGURATIONS ARE UNACCEPTABLE. PULLED BECAUSE OF WET AND WILLY BUT A WET WILLY ISNT SEXUAL",0,"Weapons, Cars, Masculine Themes"
641,YARAK 1,YARAK IS DICK IN TURKISH,2,"Sexual, Offensive, Controversial"
642,HI SEC,INITALS FOR SECURITY COMPANY,4,"Profanity, Drugs, Gang References"
643,NTBFW,NOT TO BE FUCKED WITH,5,"Defiant, Rebellious, Aggressive"
644,XXXTHOR,XXX=PORN THOR(GOD),2,"Sexual, Offensive, Controversial"
645,1OGSEX3,OG SEX,1,"Humor, Personal, Playful"
646,BGDYRTY,BIG DIRTY,8,"Sexual, Provocative"
647,HOODOO9,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,4,"Profanity, Drugs, Gang References"
648,POLEDCR,POLE DANCER,7,"Sports, Teams, Regional"
649,SICEVOX,NICE EVOLUTION 10,1,"Humor, Personal, Playful"
650,SLIPN1R,SLIP IN HER,8,"Sexual, Provocative"
651,9INERUP,NINER UP,1,"Humor, Personal, Playful"
652,7O7 PLUS,707 HORSEPOWER PLUS A LITTLE MORE,8,"Sexual, Provocative"
653,4TNT,FOR TNT,1,"Humor, Personal, Playful"
654,PNT DRPA,"PANTY DROPPER, SEXUAL REFERENCE",2,"Sexual, Offensive, Controversial"
655,DAAM DNL,DAMN DANIEL,5,"Defiant, Rebellious, Aggressive"
656,922O7,DATE OF ANIVERSARY,7,"Sports, Teams, Regional"
657,ROLN DTY,ROLLING DIRTY,8,"Sexual, Provocative"
658,HLCTKLR,HELLCAT KILLER,7,"Sports, Teams, Regional"
659,BUMBAI,TAGOLOG SLANG FOR DARKER SKIN PEOPLE,2,"Sexual, Offensive, Controversial"
660,PULLOVA,PULL OVER,8,"Sexual, Provocative"
661,DA$BLUD,THE MONEY BLOOD,1,"Humor, Personal, Playful"
662,WOOSH AF,WOOSH=FAST AS FUCK,4,"Profanity, Drugs, Gang References"
663,SLGN1NK,SLINGING INK,8,"Sexual, Provocative"
664,PHUC 48,PHUC-FUCK 48,4,"Profanity, Drugs, Gang References"
665,FUNKLFE,FUNK MUSIC LIFESTYLE,7,"Sports, Teams, Regional"
666,H8 NONE,HATE NO ONE,8,"Sexual, Provocative"
667,H$MEGRL,HOME GIRL,1,"Humor, Personal, Playful"
668,ANGY BEE,ANGRY BEE,1,"Humor, Personal, Playful"
669,CARTEL,CARTEL AS IN DRUG CARTEL,2,"Sexual, Offensive, Controversial"
670,IM12IN,IM 12 INCHES (SEXUAL REFERENCE),4,"Profanity, Drugs, Gang References"
671,DOGBARF,DOG BARF,7,"Sports, Teams, Regional"
672,2 FUXGVN,TWO FUCKS GIVEN,5,"Defiant, Rebellious, Aggressive"
673,FNPWRFL,FEAR NOT POWER FEAR LOVE OR FUCKING(FN) POWERFUL,2,"Sexual, Offensive, Controversial"
674,JONESIN,"OUR LAST NAME IS JONES, ITS FOR THE FAMILY VINTAGE BRONCO, THE JONESS ARE IN",6,"Humorous, Quirky, Personal"
675,ROD LVRS,ROD LOVERS,1,"Humor, Personal, Playful"
676,BLK HMER,BLACK HAMER,1,"Humor, Personal, Playful"
677,MICH 55,MICHIGAN 1955,1,"Humor, Personal, Playful"
678,IAM1DAF,I AM ONE DUMB ASS FUCKER,5,"Defiant, Rebellious, Aggressive"
679,KXKXKKX,XXX=PORN AND KKK,2,"Sexual, Offensive, Controversial"
680,HIYBALL,HIBALL = DRUG,2,"Sexual, Offensive, Controversial"
681,D2TW,DEAD TO THIS WORLD OR DEATH TO THE WORLD,5,"Defiant, Rebellious, Aggressive"
682,M8T MDGT,STRONG LITTLE MAN MIGHTY MIDGET,7,"Sports, Teams, Regional"
683,MYTWNGZ,MIGHTY WINGS,1,"Humor, Personal, Playful"
684,REDBONZ,REDBONE HOUND DOGS,7,"Sports, Teams, Regional"
685,LE SINGE,LE SINGE IS FRENCH FOR THE MONKEY,2,"Sexual, Offensive, Controversial"
686,3PRCTR,3 PERCENTER REFERS TO THE ORIGINAL COLONISTS WHO OPPOSED BRITISH TYRANNY,2,"Sexual, Offensive, Controversial"
687,FEXTASY,"EXTASY, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
688,D JERK,THE(DA) JERK,8,"Sexual, Provocative"
689,YHTYGRL,YACHT GIRL(LIKE BOATS) OR WHITE GIRL,0,"Weapons, Cars, Masculine Themes"
690,SPRTN14,SPARTAN 2014 14=HATE SYMBOL,1,"Humor, Personal, Playful"
691,HEL TITI,"HELL, TITI=PENIS IN TAGALOG",2,"Sexual, Offensive, Controversial"
692,2BAKIDD,2 BAD ASS KID(S),7,"Sports, Teams, Regional"
693,DBL TAP,"DOBULE TAP, GUN REFEREMNCE",4,"Profanity, Drugs, Gang References"
694,RIPIMP C,RIP(REST IN PEACE) PIMP C,0,"Weapons, Cars, Masculine Themes"
695,FCK PRZ,FUCK (PRESIDENT?),4,"Profanity, Drugs, Gang References"
696,BLUJANE,BLUE JANE,1,"Humor, Personal, Playful"
697,1ST MSLE,1ST MUSCLE CAR OR 1ST MISSILE,8,"Sexual, Provocative"
698,TIHSONO,"OH, NO SHIT (BACKWARDS)",4,"Profanity, Drugs, Gang References"
699,STUFU1,STU=STUPID FU=FUCK,5,"Defiant, Rebellious, Aggressive"
700,#HATIN,STOP HATING,5,"Defiant, Rebellious, Aggressive"
701,BZQUEEN,BUSY QUEEN BZ CAN STAND FOR BITCH,5,"Defiant, Rebellious, Aggressive"
702,I FAP,I FAP(MASTURBATE),4,"Profanity, Drugs, Gang References"
703,OSX4EVA,O(ORAL) SEX FORVER,4,"Profanity, Drugs, Gang References"
704,BUNKEY G,BUNKEY GIRL OR BUNKY GANSTER,8,"Sexual, Provocative"
705,BS RTIS,BUSINESS ARTIST OR bullshit artist,7,"Sports, Teams, Regional"
706,BROOD,BROOD AS IN FAMILY,1,"Humor, Personal, Playful"
707,DRGN SHT,DRAGGING SHIT,1,"Humor, Personal, Playful"
708,GUN ACE,GUN ACE(MASTER),4,"Profanity, Drugs, Gang References"
709,DEDS3C5,REFERENCE TO A VIDEO GAME HACKER GROUP DEAD SEC,7,"Sports, Teams, Regional"
710,C4 MILES,SEE FOR MILES,1,"Humor, Personal, Playful"
711,MALIBLU,MALIBU BLUE,1,"Humor, Personal, Playful"
712,#54 HATN,HI FIVE FOR HATING,1,"Humor, Personal, Playful"
713,8B8B88B,STAR WARS REFERENCE. THE NEW CUTE BB8 DROID MAYBE 88-HITLER?,4,"Profanity, Drugs, Gang References"
714,FUC FRD,FUCK FORD(?),4,"Profanity, Drugs, Gang References"
715,213 RAMZ,[AREA CODE] LOS ANGELES RAMS,0,"Weapons, Cars, Masculine Themes"
716,CHOCHES,MEXICAN SLANG FOR CAR,1,"Humor, Personal, Playful"
717,DANKM3,DANK=COOL OR DRUG REFERENCE,2,"Sexual, Offensive, Controversial"
718,UCM CATZ,"University of California, Merced BOBCATS",0,"Weapons, Cars, Masculine Themes"
719,4FSAKES,FOR FUCKS SAKE,5,"Defiant, Rebellious, Aggressive"
720,POOP KNG,POOP KING,8,"Sexual, Provocative"
721,THUGGER,THUGGER,1,"Humor, Personal, Playful"
722,ROOOOLL,ROLL,1,"Humor, Personal, Playful"
723,H8BOGEY,HATE BOGEY(GOLF),4,"Profanity, Drugs, Gang References"
724,831LIFE,LIVING LIFE IN SALINAS AREA CODE,3,"Personal, Family, Sentimental"
725,DRGN ASZ,DRAGGIN ASS,5,"Defiant, Rebellious, Aggressive"
726,FYOU95 1,FUCK YOU,5,"Defiant, Rebellious, Aggressive"
727,4SHOGUN,FOR SURE GUN,1,"Humor, Personal, Playful"
728,GYPSY45,GYPSY 45=gun CALIBER,2,"Sexual, Offensive, Controversial"
729,KTTYL$R,KITTY (CAT) LOVER OR KITTY=PUSSY LOVER,2,"Sexual, Offensive, Controversial"
730,TNTNSON,"TNT N SON, WEAPON REFERENCE",4,"Profanity, Drugs, Gang References"
731,I PLA 18,IM A GOLFER AND I PLAY 18 HOLES OF GOLF 18=HATE SYMBOL?,6,"Humorous, Quirky, Personal"
732,F DUQUE,F=FUCK DUQUE,4,"Profanity, Drugs, Gang References"
733,MOBXFOE,MOB FOR EVER,8,"Sexual, Provocative"
734,ETAHDCK,EAT A DICK,5,"Defiant, Rebellious, Aggressive"
735,MSSK2BU,MUST SUCK TO BE YOU,1,"Humor, Personal, Playful"
736,831 ROVR,AREA CODE AND CAR TYPE(ROVER),4,"Profanity, Drugs, Gang References"
737,MI COCO,MY CHOCOLATE COCO CAN MEAN COCAINE,1,"Humor, Personal, Playful"
738,HUUKRUP,HOOK HER UP,8,"Sexual, Provocative"
739,BRNHLD,short for brunhilde name of the bike (VALKYRE),2,"Sexual, Offensive, Controversial"
740,BBNGA,LOOKS LIKE BB NIGGA,5,"Defiant, Rebellious, Aggressive"
741,EFUU,E(HEY?) FUCK YOU,4,"Profanity, Drugs, Gang References"
742,WITHAZZ,LOOKS LIKE WITH ASS,1,"Humor, Personal, Playful"
743,MINI AF,MINI AS FUCK,5,"Defiant, Rebellious, Aggressive"
744,ICUCAR,EYE SEE YOU CAR OR ICU(INTENSIVE CARE UNIT) CAR,0,"Weapons, Cars, Masculine Themes"
745,BANG OUT,BANG OUT,8,"Sexual, Provocative"
746,KUZURUG,IT SI OUR COMPANY NAME KUZURUG.COM KUZU MEANS LAMB IN TURKISH,6,"Humorous, Quirky, Personal"
747,DONTH81,DON’T HATE,5,"Defiant, Rebellious, Aggressive"
748,LUCKYO2,luck you too=fuck you too?,4,"Profanity, Drugs, Gang References"
749,BADASMM,BAD ASS MOM,5,"Defiant, Rebellious, Aggressive"
750,MT714,"MATTHEW 7:14- BECAUSE SMALL IS THE GATE AND NARROW IS THE ROAD THAT LEADS TO LIFE, AND ONLY A FEW FIND IT.",6,"Humorous, Quirky, Personal"
751,PINKEEE,PINKY NICKNAME VAGINA REFERENCE,4,"Profanity, Drugs, Gang References"
752,TURBOGS,TURBO [CAR NAME],4,"Profanity, Drugs, Gang References"
753,CZE DOA,CAUSE/COUS(IN)? DOA=DEAD ON ARRIVAL,2,"Sexual, Offensive, Controversial"
754,88 FORD,1988 FORD TRUCK,1,"Humor, Personal, Playful"
755,TOY  14,TOY = TOYOTA 14 = 2014,4,"Profanity, Drugs, Gang References"
756,I WAS 14,I WAS 14 YEARS OLD 14 = HATE NUMBER?,6,"Humorous, Quirky, Personal"
757,CAKEWRX,CAKE(BAKERY) WORK CAKE=ASS?,2,"Sexual, Offensive, Controversial"
758,8O8 ADCT,ADDICTED TO 808S (MUSIC),4,"Profanity, Drugs, Gang References"
759,CUMN QCK,CUMMING QUICK,1,"Humor, Personal, Playful"
760,YAAR BMB,YOURE bomb(COOL),4,"Profanity, Drugs, Gang References"
761,D MOBSTA,MOBSTER,7,"Sports, Teams, Regional"
762,RDNCKRV,RED NECK RV,8,"Sexual, Provocative"
763,BABYKO,MY BABY IN TAGALOG,8,"Sexual, Provocative"
764,SHH H8RZ,SHUSH HATERS,7,"Sports, Teams, Regional"
765,BOBSICL,BOB-BISYCLE OR BOB-MOTORCYCLE,2,"Sexual, Offensive, Controversial"
766,DTARD15,RETARD,1,"Humor, Personal, Playful"
767,3O INCHR,30 INCHER POTENTIALLY SEXUAL,4,"Profanity, Drugs, Gang References"
768,KITTY UP,I AM A CAT BREEDER KITTY=PUSSY? UP,4,"Profanity, Drugs, Gang References"
769,KLRMULE,KLR IS THE TYPE OF MOTORCYCLE. MULE BECAUSE IT WORKS LIKE A MULE,0,"Weapons, Cars, Masculine Themes"
770,JOY TOY,JOY(RIDE) TOY ,4,"Profanity, Drugs, Gang References"
771,MTNCAT1,MOUNTAINCAT,1,"Humor, Personal, Playful"
772,BAAAWSS,BALLS,1,"Humor, Personal, Playful"
773,BLUGOLD,BLUE GOLD,1,"Humor, Personal, Playful"
774,H8JOKER,HATE JOKER(CHARACTER),4,"Profanity, Drugs, Gang References"
775,FH8CNCR,FUCKING HATE CANCER,5,"Defiant, Rebellious, Aggressive"
776,JSTHETP,JUST THE TIP,1,"Humor, Personal, Playful"
777,PSYC,PSYCHOLOGY,7,"Sports, Teams, Regional"
778,TOPMAN,TOP MAN,1,"Humor, Personal, Playful"
779,LXIXSTR,LXIX=69 STAR,4,"Profanity, Drugs, Gang References"
780,FIEND,FIEND,8,"Sexual, Provocative"
781,FYR PMP,FIRE PUMP,7,"Sports, Teams, Regional"
782,FIREOPS,FIREFIGHTING OPERATIONS,7,"Sports, Teams, Regional"
783,FIFONIT,FIVE (DOLLARS) ON IT GAMBLING?,8,"Sexual, Provocative"
784,CALI 4O8,CALIFORNIA [AREA CODE],4,"Profanity, Drugs, Gang References"
785,SNO TACO,SNOW TACOMA(CAR),7,"Sports, Teams, Regional"
786,BLUOVRU,BLUE ON ROOF (OF CAR),4,"Profanity, Drugs, Gang References"
787,I AM OG,I AM OG-ORIGINAL GANGSTER,6,"Humorous, Quirky, Personal"
788,48BOMBR,1948 CHEVY BOMBER,1,"Humor, Personal, Playful"
789,H8EVRY1,HATE EVERYONE,8,"Sexual, Provocative"
790,2121,21 SAVAGE (RAPPER),4,"Profanity, Drugs, Gang References"
791,UTOO PID,YOU STUPID,5,"Defiant, Rebellious, Aggressive"
792,14UVS19,"HERES ONE FOR YOU, NINETEEN FOR ME (SONG LYRIC)",6,"Humorous, Quirky, Personal"
793,TNTSPRT,tnt=EXPLOSIVE SPORT/SPRINTER,4,"Profanity, Drugs, Gang References"
794,DAMNRAT,DAMN RAT,5,"Defiant, Rebellious, Aggressive"
795,PORKER,PORKER=OBESE,2,"Sexual, Offensive, Controversial"
796,BOGAN4U,BOGAN(INSULT)\ FOR YOU,4,"Profanity, Drugs, Gang References"
797,RLAFTY,"ROLL A FATTY, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
798,GET HYE,"GET HIGH, DRUG REFERENCE ",4,"Profanity, Drugs, Gang References"
799,LVH8ERS,I LOVE HATERS,5,"Defiant, Rebellious, Aggressive"
800,IMAGOON,I'M A GOON,5,"Defiant, Rebellious, Aggressive"
801,1955XXX,1955 XXX=PORN,4,"Profanity, Drugs, Gang References"
802,CYNCATS,CANYON CATS,1,"Humor, Personal, Playful"
803,CUCHIE,CUCHIE=VAGINA,2,"Sexual, Offensive, Controversial"
804,CARSLUT,CAR SLUT,8,"Sexual, Provocative"
805,RTD5O,RETIRED OFFICER(FIVE-0),4,"Profanity, Drugs, Gang References"
806,SWISHRR,SWISHER=CIGAR POSSIBLE BLUNT MARIJUANA WRAP,4,"Profanity, Drugs, Gang References"
807,RAM YOU,RAM YOU (SEXUAL?),4,"Profanity, Drugs, Gang References"
808,MJANE,MARY JANE=MARIJUANA,1,"Humor, Personal, Playful"
809,BLACKAF,BLACK AS FUCK,5,"Defiant, Rebellious, Aggressive"
810,MN KILLA,MAN KILLER,8,"Sexual, Provocative"
811,LIT 5OH,LIT FIVE-OH(POLICE REFERENCE),4,"Profanity, Drugs, Gang References"
812,$TREEES,MONEY TREES,1,"Humor, Personal, Playful"
813,UB2JLS,YOU BE(ARE) TOO JEALOUS,8,"Sexual, Provocative"
814,BLACKOP,BLACK OPERATIONS(MILITARY),4,"Profanity, Drugs, Gang References"
815,TRDS/WRX,TIME AND RELATIVE DIMENSIONS IN SPACE(TV REFERENCE) OR TURDS WORKS,4,"Profanity, Drugs, Gang References"
816,ST8 OG,STRAIGHT OG OG=ORIGINAL GANGSTER,2,"Sexual, Offensive, Controversial"
817,H8 TTUN,HATE THAT TEAM UP NORTH (MICHIGAN REFERED BY OHIO STATE FANS),4,"Profanity, Drugs, Gang References"
818,RVRRED,RIVER RED,1,"Humor, Personal, Playful"
819,THUGNMD,THE UGLY NOMAD THUGGIN MAD?,8,"Sexual, Provocative"
820,2BG NUGZ,TWO BIG NUGS-WEED(BALLS?),4,"Profanity, Drugs, Gang References"
821,BAC DOR,BACK DOOR(SEXUAL?),4,"Profanity, Drugs, Gang References"
822,BICHASS,BITCH ASS,5,"Defiant, Rebellious, Aggressive"
823,NO PLN B,NO PLAN B,1,"Humor, Personal, Playful"
824,SIG X,SIGMA CHI (FRATERNITY),4,"Profanity, Drugs, Gang References"
825,STONER,STONER=PERSON WHO SMOKES MARIJUANA,2,"Sexual, Offensive, Controversial"
826,OH 5H1T,OH SHIT,5,"Defiant, Rebellious, Aggressive"
827,AUDZNTZ,"AWW, DEEZ NUTS",8,"Sexual, Provocative"
828,HOP2BCH,HOP TO BITCH,5,"Defiant, Rebellious, Aggressive"
829,SIX GUN,SIX GUN,8,"Sexual, Provocative"
830,LIL RCKT,LITTLE ROCKET (AS IS ROCKETSHIP),4,"Profanity, Drugs, Gang References"
831,SMKWEED,SMOKE WEED/MARIJUANA,0,"Weapons, Cars, Masculine Themes"
832,RED DAWN,RED DAWN,1,"Humor, Personal, Playful"
833,BCH LUV,BEACH LOVE BITCH LOVE,8,"Sexual, Provocative"
834,WTFLOCK,WTF LOCK(?),4,"Profanity, Drugs, Gang References"
835,DUKHNNT,DUCK HUNT (GAME),7,"Sports, Teams, Regional"
836,RVSDCAT,RIVERSIDE CAT,1,"Humor, Personal, Playful"
837,XPCTOPM,EXPECTO PATRONUM (MOVIE REFERENCE),4,"Profanity, Drugs, Gang References"
838,WCKD M3,WICKED(COOL),4,"Profanity, Drugs, Gang References"
839,R2 VAPE,VAPE,1,"Humor, Personal, Playful"
840,POPS 5O,FATHER OR 5-0 =POLICE,2,"Sexual, Offensive, Controversial"
841,MACHN G,MACHINE GUN,7,"Sports, Teams, Regional"
842,SCDK,SUCK DICK,5,"Defiant, Rebellious, Aggressive"
843,LILMEOW,LITTLE MEOW,8,"Sexual, Provocative"
844,KLLER B,KILLER B(TYPE OF MOTOR),4,"Profanity, Drugs, Gang References"
845,HAHABIH,HAHA BIH=BITCH,2,"Sexual, Offensive, Controversial"
846,BLUER2,BLUE R2-D2 (CHARACTER),4,"Profanity, Drugs, Gang References"
847,GRAMYWD,GRANDMA WOOD,1,"Humor, Personal, Playful"
848,TACOMOB,TACO MOB,7,"Sports, Teams, Regional"
