plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
5OV8KID,THIS PLATE WILL GO ON MY 1950 V8 FORD,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
69CAD,1969 CADILLAC,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,
69TRINO,1969 FORD TORINO GT FASTBACK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
8T8KEYS,I PLAY THE PIANO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ANAJ,MY FIRST NAME IS ANA AND J IS FOR JACK,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
MYCAAT,LOVE MY CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
HUZRGL,HOOSIER GIRL (GIRL FROM INDIANA),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
POPOKI,"""POPOKI"" IS ""CAT"" IN HAWAIIAN",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
4WBLUE,THIS IS THE MODEL AND COLOR OF OUR BOAT,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
JOSCAT,JOE'S DODGE HELLCAT,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BADRED,NICE RED COLOR,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
ARCHR21,SAGITTARIUS,Area code and Numbers,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,
BLUSSKY,THE SKY IS BLUE,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
CATMEOW,THE CATS MEOW,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
CINDORK,CHILDHOOD NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DGR515O,MY INITIALS AND PERSONALITY,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
EVILWAZ,SANTANA SONG TITLE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HVABALL,HAVE A BALL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SWTSAVG,SWEET SAVAGE A BAND FROM 80'S,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ZIYOU,IT IS THE PHONETIC SPELLING OF THE CHINESE  WORD MEANING FREEDOM.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
32815,WEDDING ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LBBLUE,LONG BEACH BLUE,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Pet and Animal Themes,Colors and Descriptive Traits
17BLUC7,2017 BLUE C7,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
4BECHRD,FOUR BEACH ROAD,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
BOOGGR,"BOOGER, REPULSIVE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LLT14,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1CHR3LR,CHRYSLER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
3TAB,"FIRST INITIALS OF HUSBAND, WIFE, DAUGHTER. FAMILY INITIALS",Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
REDSO5,NICKNAME AND YEAR OF BIKE,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,
AGUACA T,AVOCADO,Diverse Personal Expressions,Pet and Animal Themes,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
AZNBHEB,instead of babe (BHEB) instead of Asian (AZN),Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
BEAR666,BEAR IS MY NICKNAME. AND 666 IS FOR BAD AND I LIKE THE PLAY ON SUPERSTITIONS.,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BRD HNTR,MY FAMILY AND I ARE AVID BIRD HUNTERS IN CALFIORNIA WITH OUR CAMERAS.,Business and University Identities,Pet and Animal Themes,Diverse Personal Expressions,Personal and Family names,
CATCAT7,"CATCAT WAS MY NICKNAME FROM MY CHILDHOOD DAYS, AND 7 IS MY LUCKY NUMBER.",Area code and Numbers,Pet and Animal Themes,Personal and Family names,Pet and Animal Themes,Pet and Animal Themes
CATVIBE,CATHERINE VIBERT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
COLDFRT,COLD FRONT,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
D A N M,MY FULL NAME AND LAST NAME INITIAL,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
DRAG CAT,DODGE HELLCAT,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
ESKLAID,IT MEANS ESCALADE IN DIFERENT WORDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FIVE 2O,BADGE NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
JOYOFOG,JOF OF FOG - HAPPY TO LIVE IN SAN FRANSCISCO,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KAT O1,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KATSPNY,KATHEE MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
L8R NRD,"SEEYA LATER NERD, SAYING AMONG FRIENDS",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NAMTAC,CATMAN (SPELLED BACKWARDS),Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,
RD REBEL,ROAD REBEL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
SL13ED1,MERCEDES BENZ SL 550 EDITION ONE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SXIERRA,"SX STAND'S FOR SUPER CROSS MOTORCYCLE RACING, AND THE VEHICLE IS A GMC SIERRA THAT HAULS RACING MOTORCYCLES",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
WHTDV 7O,PALOMA BLANCA 70,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
WILYKAT,"WILYKAT IS A CHARACTER FROM THUNDERCATS CARTOON, PLATE WILL GO ON 2017 HELLCAT",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
WUTANNG,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90'S. MY FAVORITE GROUP.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1969ERS,VEHICLE IS A 1969 MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUTREK,I LOVE THE COLOR BLUE AND I AM AN OUTDOORSY TYPE,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GGZBLUE,SIMILAR TO MEXICAN PLATES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
HQ FPTT,"HEADQUARTERS OF FEDERAL POLICE TRANSITION TEAM, THE LAST UNIT I SERVED WITH OVERSEAS IN IRAQ 2009-2010",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
RDJPCHC,RED JEEP CHIC. MY JEEP IS SOLID RED. I AM FEMALE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
1PDQGTS,1 pretty darn quick grand touring sport,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GD NEWZ,THE GOOD NEWS!,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KIC ROCZ,IT'S GOING TO BE THE NAME OF OUR SOON TO BE BAND. KICK'N IT ROCKZ,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
K5T4 BJ9,K5 FOR ME 4T FOR MY WIFE BJ9 IS FOR MY KIDS,Business and University Identities,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
VWPH8TN,BRAND AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1O42RAM,END WATCH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
D RAT,DIRTY RAT. IT'S THE CAR'S NAME.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
D TRANS,MY TRUCKING COMPANY NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HIHAT14,"HIHAT IS A DRUM STAND THAT HOLDS A 14"" CYMBAL",Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
HEL BND,HELLBOUND,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
AHHUAHH,BECAUSE ITS FUNNY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MEA515O,I'M THE 50TH PERSON WITH SAME FIRST AND MIDDLE NAME IN SOUTHERN CALIFORNIA.,Personal and Family names,Diverse Personal Expressions,Area code and Numbers,Personal and Family names,Personal and Family names
SB5O AFC,SUPERBOWL 50 AMERICAN FOOTBALL CONFERENCE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
SSSLSSS,MAKE OF A VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TEEMBOX,MY FIRST NAME IS TEEM --AND MY CAR IS A SCION XB,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
13O9O,HOMETOWN ZIP,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
515OFAN,CRAZY FAN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
69 GROWL,1969 MERCURY COUGAR,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
88XJS12,"THE YEAR IS 1988, MODEL NAME IS XJ-S, AND IT'S A V12 MOTOR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DRMN BG,SETTING GOALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
76VILLN,1976 SEVILLE,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
SKIPS 88,NICKNAME SKIP YEAR OF VEHICLE,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
FISH E,FISHY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
APPLPIE,APPLE PIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DOITRIT,DO IT RIGHT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DPRED,DEEP RED,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
FJERM,I DRIVE A TOYATA FJ AND MY NICKNAME IS JERM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
HELA VET,HELLA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
I77IKEB,MIKE B,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
KITTY KAT,KITTY KAT,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LVST4VR,LIVE WITH STYLE FOREVER,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
MU RED,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,
MXBC21G,MY FAVORITE LETTERZ AND NUMBER,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,
SMKN CAD,NICE SMOKEY GRAY COLOR CADILLAC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
CMBIN14,CMB STRUCTURES INC.,Business and University Identities,Business and University Identities,Vehicle and Car Descriptions and Attributes,Business and University Identities,Business and University Identities
ME BLUE,OUR CAR IS BLUE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CHVY13,YEAR OF TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CORNA69,CAR MODEL NAME IS CORONA AND YEAR OF  CAR IS A 69,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
FALKOR8,"FALKOR IS THE WHITE ""LUCK DRAGON"" IN THE  NEVER ENDING STORY. THIS PLATE IS FOR A LARGE WHITE SUV. 8 IS JUST A LUCKY NUMBER",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GT4RCKT,PORSCHE GT4 ROCKET,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
IGO515O,"I GO CRAZY, HOSTILE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IRUNCAT,OPERATE CAT EQUIPMENT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LOIBOX2,MY NAME MY MINI,Personal and Family names,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
MISHUGA,A LITTLE CRAZY (IN YIDDISH),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ORNG5OH,ORANGE 5.0,Business and University Identities,Area code and Numbers,Area code and Numbers,Colors and Descriptive Traits,Area code and Numbers
OZLIVI,KIDS NAMES,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RDLION1,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RDROWVR,RED ROVER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
RMBULB,OUR TRUCK IS A RUMBLE BEE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
URFANCY,THAT YOUR FANCY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YELOCAT,THE VEHICLE IS A PLYMOUTH PROWLER THE  COLOR IS YELLOW AND THE FACTORY SEATS HAS A CAT LOGO ON THEM.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
2SXY4RK,TOO SEXY FOR ROCK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4763,BIRTHDAYS,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
515OKVN,515O SOME MAY FIND OFFENSIVE,Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
67VDUBN,1967 VW WITH A REFERENCE TO GS WARRIORS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
7OBLITZ,"BLITZ, DRUG REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,
73256,RANDOM NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
M6967,"69, SEXUAL REFERENCE",Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,
RDYETI,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
GMABKY,"BECKY, SEXUAL REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BONIBLU,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
IXIX6TT,"TITTIE, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
R666,KIDS BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
STYNSXY,STAYING SEXY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AWD BOX,AWD = ALL WHEEL DRIVE AND BOX = BOXY CAR OR BOXER 4 ENGINE WHICH IS WHAT MY SUBARU ENGINE TYPE IS CALLED.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ED NIGMA,ED ENIGMA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
FOURT 15,40-15 TENNIS SCORE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
FSH CRZY,FISH CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
GIV2LPC,AM THE CHIEF DEVELOPMENT OFFICER FOR LIFE PACIFIC COLLEGE (LPC) RESPONSIBLE FOR GIFTS TO THE COLLEGE,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,
HIGH TOP,I HAVE A RAISED TRUCK SO THE MEANING REPRESENTS ITS HEIGHT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LANDRKT,LAND ROCKET,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
OU1 CU1,OWE YOU  ONE SEE YOU ONE?,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PB26OO1,"AREA CODE PUNJAB, INDIA",Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
REDLEDR,STAR WARS REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SNIPPZ,MY BUSINESS NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TIR SMKR,TIRE SMOKER,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
XBRAAPX,SOUND MY ENGINE MAKES.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
2NMXCA8,NM ARE MY INITIALS. CA FOR CALIFORNIA AND 28 IS MY LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
MAX KAT,JAGUAR BELONGS TO MAX,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,
SX SX 6,FAVORITE NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
6 SX SX,FAVORITE NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
BHRSTIN,CHRISTIN WITH A B SOME GANG MEMEBERS SUB WITH A B IF THEY ARE BLOODS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
CHRL HUS,no meaning,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Personal and Family names,Diverse Personal Expressions
COPIL8T,CO PILOT,Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Pet and Animal Themes,
OMNIUM8,A FICTIONAL SOURCE OF LIFE ENERGY. FROM A NOVEL.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RKR8DJK,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
THAT BBY,THAT A BABY,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,
TINKS 14,14 GANG REFRENCE,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
TRXIRXN,"NICKNAME GIVEN BY MY GRANDFATHER, TRIXIEROXANNE",Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
83SC911,PORSCHE 1983 911 SC,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
LOVED$G,LOVE DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
CAT KDZ,CAT KIDS (WE HAVE NO CHILDREN - OUR CATS ARE OUR CHILDREN,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
REDNUFF,CAR IS REALLY RED,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BEA2K14,BOBBY ELLEN APOLINARIO 2014,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BJCA664,BAJA CALIFORNA 664 THE AREA CODE OF MY STATE TIJUANA,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BRDMN41,A BIRD MAN BORN IN 1941. I WAS AN AIR FORCE COMBAT PILOT AND RACING HOMING PIGEON FANCIER.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
