index,plate,review_reason_code,customer_meaning,reviewer_comments,status,review_reason_code,meaning
18140,TT 4 MNT,,AUDI TT FOR MIKE AND TINA,TT BREAST,Y,1,AUDI TT FOR MIKE AND TINA
13026,EJ2OG,2,SUBARU MOTOR NUMBER,PULLED FOR OG = ORIGINAL GANGSTER,N,1,SUBARU MOTOR NUMBER
626,WUACHAA,3,ITS A SLANG WORD FOR LOOK,CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD WATCH) BUT IN ARGENTINA IT IS USED (GUACHA) LIKE BASTARD . WUACHA HAS BEEN OUT SINCE 2006,Y,3,ITS A SLANG WORD FOR LOOK CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD WATCH) BUT IN ARGENTINA IT IS USED (GUACHA) LIKE BASTARD . WUACHA HAS BEEN OUT SINCE 2006
20212,C8H18 X,2,CHEMICAL COMPOSITION OF OCTANE,18 = GANG NUMBER,Y,1,CHEMICAL COMPOSITION OF OCTANE
16844,JP4LIFT,2,BUSINESS NAME,JAP?(NO JEEP) I GOOGLED AND FOUND A YELLOW PAGE LISTING FOR JP FORKLIFT REPAIR WITH THIS CUSTOMER ADDRESS,N,0,
8579,PROFANE,3,CALL SIGN,PROFANE,Y,1,CALL SIGN
6742,BLKHMR,1,BLACK HAMMER (NICKNAME),HAMMER MEANS PENIS,N,1,BLACK HAMMER (NICKNAME)
8260,CAVERAO,1 OR 2,in Brazil is a nickname for a big car,means skull in Portuguese (which is slang for oral sex in English) also means Special Police Armored Vehicle in Brazil,N,2,means skull in Portuguese (which is slang for oral sex in English) also means Special Police Armored Vehicle in Brazil
21580,WAR BOY3,2,MI CARRO ES EL QUE MAS QUIERO,PULLED FOR WAR,N,0,
18593,PIE ASO,,COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS PAYASO WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY,PIE VAGINA,N,1,COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS PAYASO WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY
19363,FYREPIG,5,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER",PULLED FOR PIG (FIREPIG IS UNACCEPTABLE),N,1,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER"
7793,3BTCHES,2,I HAVE THREE BICHON FRISE DOGS,LOOKS LIKE 3 BITCHES,N,2,LOOKS LIKE 3 BITCHES
23190,SEPPUKU,2,ITS THE TRADITIONAL DEATH OF A SAMURI IN JAPANESE CULTURE,"SEPPUKU IS A JAPANESE FORM OF A RITUAL SUICIDE, SOME MAY FIND OFFENSIVE",N,3,ITS THE TRADITIONAL DEATH OF A SAMURI IN JAPANESE CULTURE
15479,ECMB52,2,USAF SPECIALTY,"B52 IS A BOMBER, WEAPON REFERENCE",N,0,
16539,PSYCO78,2,ITS MY NICKNAME AND COMES FROM AN OLD SONG,HOSTILE,N,0,
4071,DGRS 13,2,DODGERS 13,13 GANG REFERENCE,N,1,DODGERS 13
129,OG HCAT,1,ORIGINAL HELLCAT,OG AS IN ORIGINAL GANGSTER,N,1,ORIGINAL HELLCAT
8373,BLAK 911,4,BLACK PORSCHE 911,911 EMERGENCY,Y,1,BLACK PORSCHE 911
23301,NOTAF&G,3,NO TORQUE AT FORCE*GRAVITY,NOT A FUCK GIVEN,N,0,
21003,L8R 5 O,5,LATER POLICE,LATER 5-OH (POLICE),N,1, LATER POLICE
11739,BONMD88,2,NO MEANING FILLED IN ON RED 17,"88=HATE SYMBOL, NO 88 CAR",N,0,
20770,CRM PIE,1,PIES ARE MY FAVORITE THING IN THE WORLD,CREAM PIE,N,2,CREAM PIE
9948,DOSE O1,3,NAME,"DOSE=ACID, LSD",N,0,
12651,GANESH G,2,NO MICRO,G = GANGSTER,N,0,
3848,8O5HNTR,2,SANTA BARBARA HUNTER,CA AREA CODE,N,1,SANTA BARBARA HUNTER
6807,D MANUTD,1,THE MANCHESTER UNITED,LOOKS LIKE NUTTED SEXUAL REFERENCE,N,0,
19819,A113FNS,2,A113 IS A INSIDE MOVIE JOKE OR EASTER EGG FOR AUDIENCES TO FIND IN PIXAR MOVIES SO THE PLATE MEANS PIXAR FANS,13 = GANG NUMBER,Y,1,A113 IS A INSIDE MOVIE JOKE OR EASTER EGG FOR AUDIENCES TO FIND IN PIXAR MOVIES SO THE PLATE MEANS PIXAR FANS
11284,OH GIZZ,1,ARMY UNIT/NAME,GIZZ CAN HAVE SEXUAL CONNOTATION,N,1,ARMY UNIT/NAME
4873,STLRS 18,2,FAVORITE FOOTBALL TEAM,18-HITLER,N,1,FAVORITE FOOTBALL TEAM
11277,69 CRGR,1,1969 DODGE CHARGER,69 COULD HAVE SEXUAL CONNTOTATION,Y,1,1969 DODGE CHARGER
15356,HDL BOSS,2,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER,PULLED FOR BOSS,Y,1,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER
3095,SWT INDO,D,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN,AS IN INDICA AS IN WEED,N,1,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN
1796,1#FLPWD,,no micro,1 HAND FLIP WOD,N,0,
20833,CUBBLUE,2,CHICAGO CUBS COLOR,BLUE,Y,3,CHICAGO CUBS COLOR BLUE
8672,TECH9RT,2,ITS THE BAND TECH 9 AND MODEL OF THE CAR,TECH 9 GUN,N,1,ITS THE BAND TECH 9 AND MODEL OF THE CAR
19416,$SMYCAT,1,MY DAUGHTER LOVES HER CAT. SHE ALSO LOVES HER DOG BUT THAT WAS NOT AVAILABLE.,COULD HAVE SEXUAL CONNOTATION,Y,1,MY DAUGHTER LOVES HER CAT. SHE ALSO LOVES HER DOG BUT THAT WAS NOT AVAILABLE.
9298,BBW4G$D,1,BIG BEAUTIFUL WOMAN FOR GOD,BBW BIG BEAUTFUL WOMAN OR BODACIOUS BEDROOM WARRIOR,Y,1,BIG BEAUTIFUL WOMAN FOR GOD
228,HLNAUSS,3,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOGS BREED),HAULIN ASS,N,1,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOGS BREED)
17608,UBSALTY,2,SALTY IS A FUNNY WAY OF SAYING THEYRE KIND OF UPSET AND I CHOSE THIS PLATE BECAUSE PEOPLE ARE ALWAYS SURPRISED ABOUT HOW YOUNG I AM AND THE CAR I HAVE,"YOU, HOSTILE",N,1,SALTY IS A FUNNY WAY OF SAYING THEYRE KIND OF UPSET AND I CHOSE THIS PLATE BECAUSE PEOPLE ARE ALWAYS SURPRISED ABOUT HOW YOUNG I AM AND THE CAR I HAVE
8893,PUTZ 56M,2,NO MICRO AVAILABLE,PUTZ STUPID OR DUMMY,N,0,
4973,BGHRM88,2,BIG HERMAN (WHICH IS ME) 88 IS LUCKY CHINESE NUMBER,88-HITLER,N,1,BIG HERMAN (WHICH IS ME) 88 IS LUCKY CHINESE NUMBER
17982,H BULLYS,2,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",BULLYING,N,3,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED"
11841,HEMI 831,2,HEMI V8 AND MY LOCAL AREA CODE,831=AREA CODE,N,1,HEMI V8 AND MY LOCAL AREA CODE
5812,I 707 I,2,707 HORSE POWER,707 AERA CODE,Y,1,707 HORSE POWER
2444,JAF AMF,3,OWNERS INITIALS,AMF. CUSTOMERS INITIALS ARE JAF,N,1,OWNERS INITIALS
166,BGD W211,2,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY,N,1,AIRMATIC AND MERCEDES BENZ MODEL NUMBER
13710,BOXOUT,1,BOX LEAVING,BOX CAN BE A TERM FOR A WOMANS VAGINA,N,0,
8812,BRTHJKY,3,BIRTH JUNKY MEANS I LOVE BIRTH,BIRTH JUNKY (???),Y,1,BIRTH JUNKY MEANS I LOVE BIRTH
6849,IMTRIPN,7,I AM TRIPPING,COULD BE A DRUG REFERENCES IM TRIPPING,N,1,I AM TRIPPING
482,HII H8TR,2,HIGH HAT CAR CLUB,HI HATER,N,2,HI Hitlier
22882,WYERD SS,2,MY LAST NAME IS WYER.(WYER) I GO BY MY MIDDLE NAME DIANE.(D) THE CAR IS A CAMARO SUPER SPORT.(SS),SS GANG - No Chevy on ANI,N,1,MY LAST NAME IS WYER.(WYER) I GO BY MY MIDDLE NAME DIANE.(D) THE CAR IS A CAMARO SUPER SPORT.(SS)
10586,14SSLS3,2,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,14 GANG REFERENCE,Y,1,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.
