index,plate,review_reason_code,customer_meaning,reviewer_comments,status,valid,meaning
19231,MYOPUS1,1,MY CAR IS LIKE A FINE WINE.,"PUS CAN BE SHORT FOR PUSSY, SEXUAL",N,3,"MY CAR IS LIKE A FINE WINE. PUS CAN BE SHORT FOR PUSSY, SEXUAL"
3506,818 CODE,2,NO MICRO,CA AREA CODE,N,2,CA AREA CODE
9641,FTW DYNA,3,NO MICRO,FUCK THE WORLD,N,2,FUCK THE WORLD
17032,NEGRA 50,2,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0",NEGRA,N,1,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0"
7244,NO PNDJO,2,FAMILY INITIALS,NO PENDEJO SPANISH CURSE WORD,N,2,NO PENDEJO SPANISH CURSE WORD
1358,18 KWH,2,BATTERY CAPACITY OF THE VOLT,18-HITLER,N,1,BATTERY CAPACITY OF THE VOLT
15881,B HALLS,3,MY NAME,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL,N,2,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL
14668,MOJO VAN,1,MY NICKNAME,MOJO?,Y,1,MY NICKNAME
8528,H8N BMPS,7,"CAR IS LOWERED, CAR SCRAPES ON SPEED BUMPS",HATEN?,N,2,HATEN?
11971,DAF,3,MY KIDS FIRST LETTERS OF THERE NAMES,DOWN AS FUCK,N,2,DOWN AS FUCK
3692,DARWIN14,2,NAME AND BIRTHDAY,14-HITLER,N,1,NAME AND BIRTHDAY
19314,SUBIE AF,2,THE CAR IS A SUBARU AND MY INTITIALS ARE AF,AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF),N,3,THE CAR IS A SUBARU AND MY INTITIALS ARE AF AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF)
17413,GRMAG,2,GRAMA LOVES HER GRANDKIDS,"G, GANG REFERENCE",N,1,GRAMA LOVES HER GRANDKIDS
21429,18BYH94,2,BRIAN YOSEF HINOJOSA 18/1994,"18, GANG REFERENCE",N,1,BRIAN YOSEF HINOJOSA 18/1994
22366,DICKARD,2,NICKNAME MY BROTHER-IN-LAW GAVE ME,DICK HARD,N,2,DICK HARD
7098,ONW2 FYB,7,ON MY WAY TO FIX YOUR BIKE,ON MY WAY 2 FUCK YOUR BITCH,N,2,ON MY WAY 2 FUCK YOUR BITCH
22586,WAASSUP,3,WHATS UP...HOW ARE YOU DOING,ASS UP?,Y,3,WHATS UP...HOW ARE YOU DOING ASS UP?
21475,DRTYTYZ,1,OFFROAD DIRT TOYS FOR MY TRAILER,"DIRTY TOYS, COULD BE CONSIDERED SEXUAL",N,3,"OFFROAD DIRT TOYS FOR MY TRAILER DIRTY TOYS, COULD BE CONSIDERED SEXUAL"
21328,FLAT6 9K,1,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM","69, SEXUAL REFERENCE",Y,1,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM"
9400,K SERO,2,NICKNAME,CAT,Y,3,NICKNAME CAT
17338,R8RDUKY,3,RUBBER DUCKY,DUKEY IS ANOTHER WORD FOR POOP,N,1,RUBBER DUCKY
18651,LYV FISH,,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",FISH,Y,1,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING"
20574,CRDKILR,2,CROWD CONTROL (MUSTANG JOKE),"KILLER, HOSTILE",N,3,"CROWD CONTROL (MUSTANG JOKE) KILLER, HOSTILE"
3637,COPNOPE,5,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP,COP,N,1,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP
20513,IDO1214,2,WEDDING DATE,"14, GANG REFERENCE",Y,1,WEDDING DATE
12752,MS14FEB,2,MISS VELENTINE,14 GANG REFERENCE,Y,1,MISS VELENTINE
10176,Y H8 ME,7,WHY HATE ME,HATE,N,1,WHY HATE ME
18977,TCBLAMF,3,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)",MF,N,1,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)"
20207,6872 V14,2,"BIRTH YEARS FOR ME, WIFE, DAUGHTER",14 = GANG NUMBER,Y,3,"BIRTH YEARS FOR ME, WIFE, DAUGHTER 14 = GANG NUMBER"
1792,6EBELLE,,NICKNAME,SEXY BELLE,Y,3,NICKNAME SEXY BELLE
16364,BYE PIG,5,LAST CAR WAS A GAS PIG (7MPG) EVEN NICKNAMED PIG .THIS ONE 27MPG SO BYE GAS PIG,PIG COP,N,2,PIG COP
15404,TAP D IN,1,TAPPED IN,COULD HAVE SEXUAL CONNOTATION,N,3,TAPPED IN COULD HAVE SEXUAL CONNOTATION
17975,BDASGRM,3,CELEBRATING OUR GRANDMA,BAD ASS GRANDMA,N,2,BAD ASS GRANDMA
1285,1 MAD O,1,10 LUCKY NUMBER AND INITIALS MICHAEL AND ADRINE DANIELIAN,ONE MAD HOE(O),N,2,ONE MAD HOE(O)
16662,OLDHAG,3,OLD WOMAN,"HAG, SOME MAY TAKE OFFENSE",N,3,"OLD WOMAN HAG, SOME MAY TAKE OFFENSE"
10395,1 BAM F,3,1 BEAUTIFUL AMAZING MEXICAN FEMALE,BADASS MOTHER FUCKER,N,2,BADASS MOTHER FUCKER
14398,13KH73B,2,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB,13 = GANG NUMBER,N,3,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB 13 = GANG NUMBER
19340,LUKYA55,3,LUCKY AT 55,LUCKY ASS,N,2,LUCKY ASS
20116,LIT LAW,7D,COMPANY NAME,LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT,N,3,COMPANY NAME LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT
16980,BIOSKLR,2,INTERNET NICKNAME,KILLER,N,3,INTERNET NICKNAME KILLER
3158,DEWSHBG,2,NAME OF MY COMPANY,DOUCHE BAG,N,2,DOUCHE BAG
19331,39891,6,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,ALL DIGITS,Y,1,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF
14370,SMOKEUN,7D,HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE.,"SMOKIN, COULD BE DRUG REFERENCE",N,3,"HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE. SMOKIN, COULD BE DRUG REFERENCE"
3613,SKYHY,D,SKY IS A NICK NAME BECAUSE IM 65 TALL. HY FOR THE FIRST TWO LETTERS OF MY LAST NAME,SKY HIGH VERY HIGH,N,2,SKY HIGH VERY HIGH
8266,OKAY CUH,2,OKAY FRIEND OR COUSIN,"CUH=CUZ, A CRIP (GANG) TERM",N,1,OKAY FRIEND OR COUSIN
19272,5OACRES,5,50 ACRES OF LAND,"5O, POLICE REFERENCE",Y,1,50 ACRES OF LAND
1678,LOL PP,1,LOLLIPOP,LOL pp=peepee=penis,N,2,LOL pp=peepee=penis
10761,889 88,2,NO MICRO AVAILABLE,88 HITLER REFERENCE,N,2,88 HITLER REFERENCE
22799,2 CREAMY,1,FAMILY NICKNAME,TOO ME IT SOUNDS SEXUAL,N,3,FAMILY NICKNAME TOO ME IT SOUNDS SEXUAL
19080,O311 MM,,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM,LOOK  A LIKE,N,1,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM
15420,69ZOMBI,1,CAR MAKE AND MODEL,PULLED FOR 69,Y,1,CAR MAKE AND MODEL
9208,PSTLROS,2,ICE CREAM SALES MAN,PISTOL,N,2,PISTOL
13890,TELLE B,,WIFES NICKNAME,TELLE BITCH,N,2,TELLE BITCH
19367,HBGRL1 3,2,HUNTINGTON BEACH LOCAL GIRL,13 = GANG NUMBER,N,3,HUNTINGTON BEACH LOCAL GIRL 13 = GANG NUMBER
15902,LEO13H4,2,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL,13=GANG,N,3,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL 13=GANG
14266,PHQDKHD,3,PHYSIQUE DUCK HEAD OREGON DUCKS FAN,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",N,2,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS"
15780,WUTANNG,1,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.,TANG=PUSSY,Y,1,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.
21673,BIGMO69,1,NICKNAME,PULLED FOR 69 Cant see ANI,N,3,NICKNAME PULLED FOR 69 Cant see ANI
10407,DR STANK,2,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME,Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotationsâ€¦?,N,3,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotationsâ€¦?
2263,STIDFWU,3,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DONâ€™T WANT ANY TROUBLES,I DONâ€™T FUCK WITH YOU,N,3,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DONâ€™T WANT ANY TROUBLES I DONâ€™T FUCK WITH YOU
21686,DVLMOBL,2,THE CAR IS A RAT ROD AND THE NAME IS DEVIL MOBILE,DEVIL MOBILE,Y,2,DEVIL MOBILE
3982,AMF HTRS,2,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE,HATERS,N,1,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE
5517,FNH FAL,2,FAVORITE HISTORICAL FIREARM,FN FAL IS A SEMI AUTOMATIC RIFLE,N,2,FN FAL IS A SEMI AUTOMATIC RIFLE
16824,BEES HUM,1,"HONEY BEES HUM, AS IN SINGING",HUM CAN HAVE SEXUAL CONNOTATIONS,N,3,"HONEY BEES HUM, AS IN SINGING HUM CAN HAVE SEXUAL CONNOTATIONS"
6200,CANABCH,3,"name of my company: cannabeach, llc",cannabeach is a medical marijuana delivery service,N,2,cannabeach is a medical marijuana delivery service
8480,CAZZO,3,OUR FAVORITE RESTAURANT IN DALLAS,ITALIAN FOR FUCK,N,2,ITALIAN FOR FUCK
4195,69CUDIE,1,FOR MY 1969 BARRACUDA,COULDNT VERIFY 1969. CUDIE..SEX,N,3,FOR MY 1969 BARRACUDA COULDNT VERIFY 1969. CUDIE..SEX
14707,BUBZS,1,SONS NICKNAME,BOOBS,N,2,BOOBS
15665,FADYNP,1,FADY NP,COULD BE FATTY NIP (NIPPLE),N,2,COULD BE FATTY NIP (NIPPLE)
12177,HY ROLER,7D,NAME OF THE VEHICLE ITS GOING ON. ITS A CUSTOM LIFTED VEHICLE. HIGH ROLLER,HIGH ROLLER COULD BE DRUG REFERENCE,N,2,HIGH ROLLER COULD BE DRUG REFERENCE
20364,GSLILCR,2,GLORIA SASSES LITTLE CAR,"GS LITTLE CAR G, GANG REFERENCE",N,1,GLORIA SASSES LITTLE CAR
7887,RSQKTY,1,rescue kitty,"kitty=pussy, no cat car. this is a Pet plate, she has FERALV now on a Pet plate",Y,1,rescue kitty
7935,WET WLYS,1,WE HAVE A JEEP WILLYS,WET WILLYS,N,2,WET WILLYS
21247,SHIV OO1,2,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME.","SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)",Y,3,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME. SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)"
18421,JDUBS,7D,MY CAR NICKNAME....,"DUB, DRUG REFERENCE",N,2,"DUB, DRUG REFERENCE"
37,MI HYNA,2,NO MICRO AVAILABLE,GANGSTER GIRL OR CHOLA,N,2,GANGSTER GIRL OR CHOLA
8246,LOCO8N1,2,CRAZY 8,LOCO=CRAZY,Y,1,CRAZY 8
3978,KLR 65OE,2,NO MICRO,"650 AREA CODE, KILLER",N,2,"650 AREA CODE, KILLER"
15977,EL CHOPR,2,NICK NAME,"THE CHOPPER, HOSTILE",N,3,"NICK NAME THE CHOPPER, HOSTILE"
7080,2TITG1B,1,TOO TIGHTâ€¦.GONNA GO 1ST BEST (IN SHOW),TIT-LIKE BREAST?,N,2,TIT-LIKE BREAST?
18166,BKICKER,,ITS THE NAME OF MY HOME INSPECTION COMPANY: BRICKKICKER,"KICKER OR LOOKS LIKE B, KICK HER",N,2,"KICKER OR LOOKS LIKE B, KICK HER"
8539,IFUWKIT,3,IF YOU WORK IT,I FUCK WITH IT,N,2,I FUCK WITH IT
21125,GUEROSI,,FAMILY NAME,GUEROSI (Customers name is Rosales.,N,1,FAMILY NAME
762,GASSSUC,3,GAS POLLUTES THE ENVIRONMENT,GAS SUCKS,N,2,GAS SUCKS
16645,HLYWDHI,7D,I GRADUATED FROM HOLLYWOOD HIGH SCHOOL,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE",N,2,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE"
15312,PDEWAGN,5,PADY WAGON,PADDY WAGON = POLICE VAN,N,1,PADY WAGON
12634,TRILL OG,2,TRILOGY,OG = ORIGINAL GANGSTER,N,3,TRILOGY OG = ORIGINAL GANGSTER
11645,6939OC6,6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,LOOK A LIKE,N,1,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE
17080,1776US1,6,AMERICAN INDEPENDANCE,LOOK A LIKE,N,1,AMERICAN INDEPENDANCE
19955,N54GANG,2,"N54 IS THE NAME OF THE CARS ENGINE, N54GANG IS AN INSTAGRAM ACCOUNT.","GANG, GANG REFERENCE",N,2,"GANG, GANG REFERENCE"
22117,MLUVSTX,1,MELISSA LOVES TONI XANAYA,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS",Y,2,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS"
12816,DEEPRED,2,"CAR IS DARK RED, OFTEN CALLED DEEP RED.","RED, GANG REFERENCE (OR POLITICAL?)",Y,2,"RED, GANG REFERENCE (OR POLITICAL?)"
575,KATHELL,3,HELL CAT IS NAME OF OUR MODEL CAR,"no dodge on ani, hell",N,1,HELL CAT IS NAME OF OUR MODEL CAR
17783,LOVE BJ,1,I LOVE BEIJING,LOVE BJ BLOW JOB,N,2,LOVE BJ BLOW JOB
17901,BETHE B,3,NO MEANING ON REG 17,BE THE BITCH,N,2,BE THE BITCH
23156,ICEUP,7D,ICE UP MEANS STEP YOUR GAME UP,ICE IS ANOTHER WORD FOR DRUGS,N,3,ICE UP MEANS STEP YOUR GAME UP ICE IS ANOTHER WORD FOR DRUGS
19865,PWNED13,2,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH,13 = GANG NUMBER,N,3,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH 13 = GANG NUMBER
4961,MUFAXUH,3,LONG HAIR JUST LIKE THE LION FROM LION KING,MOTHER FUCKER,N,2,MOTHER FUCKER
18393,ARCE,1,MY NAME,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS",N,2,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS"
10367,8O8POKE,1,HAWAIIN STYLE POKE,POKE-SEXUAL?,N,1,HAWAIIN STYLE POKE
15061,75TH JP,,75TH ANNIVERSARY JEEP,JP LOOKS LIKE JEEP OR JAP,N,1,75TH ANNIVERSARY JEEP
6745,HITMAN,2,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK!",KILLER,N,3,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK! KILLER"
22846,88BURNZ,2,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER,"88, GANG REFERENCE",N,1,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER
1247,WSUPESE,2,WHATS GOING ON MAN,WHATS UP ESE GANG SLANG?,N,2,WHATS UP ESE GANG SLANG?
9530,RED TOP,7,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",RED-GANG COLOR. IT IS A BUSINESS,Y,1,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA."
21618,CRYRMOB,2,CRYER FAMILY,MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name,N,3,CRYER FAMILY MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name
13542,DINAN AF,3,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS,AF = AS FUCK,N,3,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS AF = AS FUCK
13796,BLK PC,,BLACK PORSCHE CARRERA,BLACK P C,N,1,BLACK PORSCHE CARRERA
1408,MUTANT G,2,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES",G=GANGSTER,N,3,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES G=GANGSTER"
2131,FIGHTS,2,BUSINESS,FIGHTS=VIOLENCE,N,2,FIGHTS=VIOLENCE
6111,BRYTBLU,7,BRIGHT BLUE,BLUE- GANG COLOR,Y,3,BRIGHT BLUE BLUE- GANG COLOR
11703,CHEEEX,1,NICKNAME FROM DECEASED GRANDMOTHER,CHEEKS=ASS,N,2,CHEEKS=ASS
17826,BCH4YOU,2,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT,BEACH FOR YOU OR BITCH FOR YOU,N,3,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT BEACH FOR YOU OR BITCH FOR YOU
7345,HAT3,2,no quickweb,"HATE (not a lookalike or sub, customer last name is Hatfield)",N,2,"HATE (not a lookalike or sub, customer last name is Hatfield)"
20098,BLK SVGE,2,THE COLOR IF THE CAR AND REPRESENTS WHAT IVE BEEN THROUGH IN LIFE. A STRONG PERSON.,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON,N,2,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON
14210,HIF4LFE,7D,HEARTS IN FOCUS FOR LIFE,HI FOR LIFE,N,2,HI FOR LIFE
1779,UTRA GNZ,,no micro,UTRA GNZ(GUNS),N,2,UTRA GNZ(GUNS)
8099,RUSSO13,2,LAST NAME AND FAVORITE NUMBER,RUSSO=RUSSIAN 13-GANG,N,2,RUSSO=RUSSIAN 13-GANG
7260,BLK911S,2,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.,BLACK 911,Y,1,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.
14393,YRU1 2H8,2,WHY ARE YOU ONE TO HATE,WHY ARE YOU ONE TO HATE,N,1,WHY ARE YOU ONE TO HATE
13290,AGENCYG,2,I RUN A COMPANY CALLED THE AGENCY AND MY LAST NAME STARTS WITH G,"AGENCY G, GANG REFERENCE",N,2,"AGENCY G, GANG REFERENCE"
20231,ST4R W4R,2,STAR WARS,STAR WAR IS  MARKED UNACCEPTABLE,N,1,STAR WARS
6320,4QIDGAF,3,LIFE IS SHORT,IDGAF-I DONT GIVE A FUCK,N,2,IDGAF-I DONT GIVE A FUCK
1095,YUGO G,2,CARS NAME,YOU GO G AS IN GANGSTER,N,2,YOU GO G AS IN GANGSTER
4083,NNJA HLR,2,NINJA HAULER,NINJA ALSO ANOTHER FOR NIGGA ..,Y,1,NINJA HAULER
23052,COMEONB,3,WIFES NAME IS BRENDA. I CALL HER B  FOR SHORT.,COME ON B = BITCH,N,2,COME ON B = BITCH
3917,C ME 4MJ,D,I WORK FOR THE MAUI JIM SUNGLASS COMPANY,SEE ME FOR MARY JANE,N,2,SEE ME FOR MARY JANE
23209,UR MVN,2,YOU ARE MOVING. I AM A REALTOR,"YOU, COULD BE HOSTILE",Y,1,YOU ARE MOVING. I AM A REALTOR
14045,SCHIZAH,3,THIS IS MY NICKNAME.,SHIT IN GERMAN,N,2,SHIT IN GERMAN
16633,DFIESTA,1,CAR MODEL,"THE D COULD STAND FOR DICK, DICK PARTY",N,2,"THE D COULD STAND FOR DICK, DICK PARTY"
4866,PIMPJCE,2,THE NICKNAME MY FATHER GAVE THE CAR WHEN I BROUGHT IT HOME,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,N,2,PIMP JUICE. A NELLY SONG. A DRINK. MOJO
20060,DNAZZTY,1,NICKNAME,D(DICK?) NASTY,N,2,D(DICK?) NASTY
7029,CUDA 7T,1,1970 CUDA,CUDA SLANG FOR VAGINA,Y,1,1970 CUDA
10782,FUCKK IT,3,MY DAUGHTERS PET NAME,FUCK IT,N,2,FUCK IT
9476,MALIBU G,7,NO MICRO,MALIBU G-GANGSTER,N,2,MALIBU G-GANGSTER
9097,5PTHOE,3,5 BECAUSE IM THE 5TH CHILD. PTH IS MY MOMS INTIALS AND OE IS MY DADS,5 POINT/PATH HOE-WHORE.,N,2,5 POINT/PATH HOE-WHORE.
4174,MNT CHP,5,MINT CHIP ICE CREAM,MINT CHIPâ€¦. CHP,N,1,MINT CHIP ICE CREAM
19170,SMOKY,,MY NICKNAME,SMOKY,N,2,SMOKY
22527,JONKY,7D,JOHN KINGSLEY,JUNKY?,N,2,JUNKY?
2563,CRP INS,2,CALIFORNIA REVOLVER AND PISTOL INSTRUCTION,CRIP,N,2,CRIP
19831,DEAD1CO,1,DEAD AND CO IS THE NAME OF A BAND I LOVE,PULLED FOR DEAD,N,1,DEAD AND CO IS THE NAME OF A BAND I LOVE
7266,FLIPN RE,3,FLIPPING REAL ESTATE,FLIPPIN AS N FUCKIN,N,1,FLIPPING REAL ESTATE
22146,8183,6,BIRTH YEAR OF HUSBAND AND MYSELF,ALL DIGITS,Y,1,BIRTH YEAR OF HUSBAND AND MYSELF
9614,BONGSKE,7,ALIAS,BONG-WEED,N,2,BONG-WEED
22587,13PSALM,2,RELIGIOUS,13 = GANG NUMBER,N,1,RELIGIOUS
16861,OPD6M52,5,DEPARTMENT NAME,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)",N,2,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)"
15050,1PXIDST,,OUR DOGS NAME,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS,N,2,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS
4563,OG LARAM,2,ORIGINAL LOS ANGELES RAMS FAN,OG=ORIGINAL GANGSTER,Y,3,ORIGINAL LOS ANGELES RAMS FAN OG=ORIGINAL GANGSTER
17223,JWLUV13,2,J W LOVE  13 FAVORITE NUMBER,13 = GANG NUMBER,N,3,J W LOVE  13 FAVORITE NUMBER 13 = GANG NUMBER
12309,PUMPGUY,2,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY,PUMP GUY SEXUALL REFERENCE,Y,3,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY PUMP GUY SEXUALL REFERENCE
18473,FORDFX,3,MODEL OF MY CAR,FX COULD STAND FOR FUCKS,Y,3,MODEL OF MY CAR FX COULD STAND FOR FUCKS
22491,#C4 28K,2,THIS IS MY AMPARTMENT NUMBER IN MY HOMETOWN,C4 EXPLOSIVE,N,2,C4 EXPLOSIVE
659,GTFO1O1,3,GOOD TIMES FOR OUR 101,GTFO=GET THE FUCK OUT 101,N,2,GTFO=GET THE FUCK OUT 101
641,6VISIX,4,MY BIRTHDAY,666,Y,2,666
7674,4A12K88,7,NAME AND BIRTHDATE,88-HITLER. NAME AND BIRTHDATE VERIFIED,N,1,NAME AND BIRTHDATE
17402,DOCVAJJ,1,KIDS NAMES,"DOCTOR VAGINA, SEXUAL REFERENCE",N,2,"DOCTOR VAGINA, SEXUAL REFERENCE"
16789,1JMV69,1,MY INITIALS AND BORN YEAR,"69, SEXUAL REFERENCE",N,3,"MY INITIALS AND BORN YEAR 69, SEXUAL REFERENCE"
20438,SUGAR88,2,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,"88, GANG REFERENCE",N,1,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.
9153,MPG AF,3,I DRIVE A TOYOTA PRIUS AND I GET A LOT OF MPG. I LIKE TO DRIVE AND TRAVEL AND ITS ALWAYS FUN GETTING GOOD MPG,MPG(MILES  PER GALLON?) AS FUCK!,N,2,MPG(MILES  PER GALLON?) AS FUCK!
4516,ILS LOC,2,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,LOC AS GANG REFERENCE,N,1,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS
5512,DOPE MK6,D,MK6 IS THE TYPE OF CAR I HAVE.,DOPE=DRUG OR DOPE=COOL,Y,3,MK6 IS THE TYPE OF CAR I HAVE. DOPE=DRUG OR DOPE=COOL
8867,ZRO5ONE,2,NAME OF MY TACTICAL TRAINING/GUN DEALER BUSINESS-ZERO5ONE TACTICAL LLC,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH,Y,2,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH
